Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Adaptative,Acceptance,6,False
Awakening,Apologetic,8,False
Appropinquity,Auspicate,9,False
Allochroite,Amicability,8,False
Acardiac,Appraisable,7,False
Anthropomorphism,Alopecia,12,False
Annotating,Armipotence,8,False
Adjugate,Acquist,5,False
Alienee,Averaged,6,False
Antimalarial,Auriphrygiate,9,False
Abstained,Adversities,8,False
Acquainting,Appreciation,8,False
Antagony,Attainableness,10,False
Aspect,Aurorae,6,False
Acquitted,Ache,6,False
Approvance,Acre,7,False
Areolae,Ahoy,5,False
Actionable,Agreeability,9,False
Acupressure,Aggrandized,9,False
Apprizal,Art union,8,False
Aftereye,Amenableness,9,False
Azymous,Abounding,8,False
Alunogen,Antitypy,7,False
Artichoke,Approve,6,False
Abortional,Alienee,7,False
Autotheism,Albuminin,8,False
Apparency,Annual,8,False
Alkalis,Abjectly,7,False
Alfilaria,Articulately,8,False
Anchor-hold,Ankle,8,False
Aplacental,Abnormous,9,False
Acetifying,Agriculturalist,11,False
Agni,Aegophony,6,False
Administerial,Aspartic,10,False
Accompt,Attone,5,False
Acolothist,Anubis,7,False
Anhinga,Allowably,8,False
Arachnoid,Assyriology,9,False
Adactylous,Ammodyte,8,False
Analysis,Auriscalp,8,False
Able,Auntter,5,False
Athermanous,Abib,10,False
Assecure,Architectonic,10,False
Amission,Arsenopyrite,10,False
Anniversaries,Annumeration,6,False
Aluminate,Acerbic,8,False
Androtomous,Antigalastic,10,False
Autotype,Abluent,7,False
Askew,Allaying,7,False
Appendage,Abandoned,6,False
Approachable,Ambury,11,False
Aspect,Apophyge,6,False
Atlas,Alongst,5,False
Amusement,Allower,7,False
Amaurosis,Asterolepis,6,False
Abortion,Antiscolic,8,False
Archchamberlain,Affrayment,12,False
Abusing,Acrocarpous,10,False
Abacination,Aquilon,7,False
Amphimacer,Alacriously,9,False
Achlamydeous,Activeness,8,False
Antidote,Attenuated,6,False
Anantherous,Altitude,9,False
Arranged,Arranged,0,True
Aristate,Apprenticed,7,False
Abdominoscopy,Anticlinorium,10,False
Aegicrania,Aegis,6,False
Anchor,Algebraical,9,False
Allhallond,Adversion,7,False
Archwise,Ansated,7,False
Anastomotic,Adelaster,9,False
Anglice,Apron,6,False
Admirable,Aviculture,8,False
Associate,Attitudinizer,10,False
Actiniae,Amphibolous,9,False
Allottee,Astrologize,7,False
Arpentator,Adjacently,8,False
Amnesia,Areopagite,8,False
Arnica,Aphis,4,False
Amenability,Aggeration,8,False
Antemeridian,Anagogic,9,False
Attempting,Accumbent,7,False
Ascendable,Ankylose,8,False
Asphaltum,Atrede,8,False
Archaism,Averring,6,False
Adverbial,Armillary,8,False
Agminal,Anagram,5,False
Apyrous,Aplanatism,7,False
Acanthuses,Anteposition,10,False
Astraean,Arduously,8,False
Ascend,Acetifying,7,False
Acronyctous,Abacination,9,False
Ametabolous,Affectionate,9,False
Astro-,Achievement,10,False
Aerohydrodynamic,Appointable,13,False
About-sledge,Anaesthetize,10,False
Allowedly,Agnition,8,False
Acknow,Antiphthisic,11,False
Alluvion,Ampullary,7,False
Anomia,Andarac,4,False
Absorpt,Assist,4,False
Aruspex,Apothegmatical,12,False
Amyloidal,Arboricole,7,False
Agglomerate,Accustomarily,9,False
Applied,Ambidextrously,12,False
Ambages,Assignat,6,False
Asonant,Anchylose,8,False
Autobiography,Ablaqueate,11,False
Axtree,Argosies,6,False
Antitypal,Arenicolite,9,False
Appropriate,Avicula,9,False
Accountant,Anconoid,6,False
Astonished,Allegory,9,False
Alley,Ambulative,8,False
Abut,Ancestry,6,False
Apetalous,Avile,7,False
Ammoniac,Affine,6,False
Amphigamous,Ashlaring,8,False
Aquilae,Alarmist,7,False
Awry,Autocarpian,9,False
Alopecia,Antipathize,8,False
Amoebean,Antiseptic,8,False
Armor-plated,Adry,10,False
Antanaclasis,Archimage,10,False
Astringency,Abaciscus,9,False
Agential,Anatifer,6,False
Agog,Animadverting,11,False
Amortize,Acrosporous,9,False
Angry,Adenophorous,9,False
Acanthophorous,Arminian,13,False
Amative,Anallantoidea,8,False
Argus shell,Argilliferous,9,False
Annotative,Aphthoid,7,False
Aciform,Anthropomorphize,13,False
Arrangement,Ambrosia,10,False
Algoid,Actualness,8,False
Anthropidae,Adventurer,10,False
Alchymic,Adjectively,9,False
Aeolipile,Accusal,7,False
Arbalest,Aprocta,7,False
Allegories,Antimonarchist,10,False
Ambler,Amphi-,4,False
Amoebea,Admiralties,8,False
Avast,Adoration,7,False
Antitypy,Alme,7,False
Accompanist,Alkalization,9,False
Arsenal,Absolutely,7,False
Abolishing,Address,8,False
Appointment,Adverbialize,11,False
Abrading,Attitudinizer,9,False
Anglo-Saxonism,Allodium,9,False
Absurd,Agreement,8,False
Admiration,Ask,9,False
Appoggiatura,Ad libitum,8,False
Approve,Atherine,5,False
Abit,Abaiser,4,False
Accompanier,Alveole,9,False
Arsmetrike,Aeruginous,9,False
Aquatile,Alinement,8,False
Adjuration,Arsenical,9,False
Arsine,Arrected,5,False
Agitating,About,7,False
Alveole,Averseness,7,False
Amphictyonies,Atellan,11,False
Awesomeness,Anachronistic,10,False
Abatable,Anal,5,False
Adherent,Ambidextrousness,12,False
Adiactinic,Artificiality,9,False
Associationist,Alburnum,12,False
Aruspices,Abstersive,8,False
Archeological,Absorbed,11,False
Assistantly,Axiom,9,False
Acetimetry,Antemosaic,8,False
Allopathy,Asperne,7,False
Allmouth,Attemptive,8,False
Actually,Axstone,7,False
Affatuate,Aboard,7,False
