Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Buckish,Beckon,4,False
Buttonhole,Banalities,9,False
Breasting,Bearherd,6,False
Bedtick,Broche,6,False
Beal,Bockelet,6,False
Biltong,Bitts,4,False
Beaconless,Bruisewort,9,False
Bois durci,Batardeau,8,False
Bodge,Bibitory,7,False
Benthamic,Blemishing,8,False
Bushelman,Bullcomber,7,False
Ballot,Birch,5,False
Beseeming,Biland,7,False
Bergmaster,Becalm,7,False
Branchia,Beggar,7,False
Bloodybones,Bloomer,6,False
Bilamellated,Barmecidal,9,False
Bricklaying,Bipunctate,9,False
Bridoon,Boozed,6,False
Blustering,Bowstrung,4,False
Bloodroot,Binucleolate,9,False
Buttercup,Bespot,7,False
Bedraggled,Beshone,7,False
B,Biforous,7,False
Boasting,Battle,5,False
Brandish,Buffoonly,8,False
Bartering,Billet,7,False
Boltsprit,Bassock,7,False
Breadstuff,Burglar,9,False
Botfly,Balneotherapy,9,False
Bontebok,Biliteral,6,False
Blind,Braid,3,False
Beamless,Brooded,6,False
Broken wind,Braved,7,False
Bowled,Bethumping,9,False
Buskin,But-thorn,6,False
Bemuse,Bawhorse,5,False
Brachyural,Bookbindery,10,False
Brooklime,Browspot,6,False
Blower,Blackroot,6,False
Bow-saw,Blockade,6,False
Bourder,Blessed,5,False
Bully,Bullfly,2,False
Bemoan,Bandied,6,False
Blackband,Burkism,7,False
Butterflies,Bedding,8,False
Benty,Beplumed,6,False
Bunging,Bactericidal,10,False
Blendwater,Bibliographer,8,False
Basis,Brush,4,False
Breachy,Bogsucker,7,False
Busied,Balder,4,False
Batted,Bowtel,3,False
Bloating,Baiting,3,False
Bravade,Burdening,7,False
Braining,Blackening,4,False
Bigotedly,Bullionist,9,False
Badger,Burden,4,False
Biliteral,Becking,8,False
Butte,Bloomy,5,False
Brutalize,Basidium,7,False
Boxwood,Barefoot,5,False
Bouilli,Bumping,6,False
Body,Beastliness,10,False
Breadless,Barleybrake,8,False
Borachte,Beslime,6,False
Billy goat,Blinked,8,False
Blunder,Baff,6,False
Behead,Belemnite,6,False
Bandore,Bibliopegy,7,False
Blancmanger,Beholdingness,9,False
Bean caper,Bugaboo,8,False
Breton,Biacuminate,9,False
Breviaries,Bealing,6,False
Bridewell,Bigential,6,False
Bicyclist,Buckskin,6,False
Bipedal,Bonze,6,False
Bloodied,Bartholomew tide,12,False
Broidery,Balistoid,7,False
Blender,Bewray,5,False
Begilded,Boiar,6,False
Busto,Burghbote,6,False
Bodies,Beet radish,8,False
Bedkey,Brere,4,False
Bouri,Browspot,6,False
Bever,Blade,4,False
Blackguardism,Bracky,9,False
Balaenoidea,Bonasus,9,False
Bardship,Brett,6,False
Biological,Briefman,8,False
Balneation,Bespawl,8,False
Brickyard,Billage,6,False
Beechnut,Bumptiousness,11,False
Beggar,Burlap,4,False
Barberry,Birred,5,False
Boughten,Beach,6,False
Bibliological,Bocasine,10,False
Burgess-ship,Bowne,10,False
Brettices,Barbarism,7,False
Bougie,Beray,5,False
Bespot,Bibliolatry,8,False
Bespoke,Balachong,7,False
Baptizing,Bellwort,8,False
Bonnet,Bicrescentic,9,False
Breccia,Bridoon,5,False
Brumaire,Belgard,5,False
Borborygm,Bell-shaped,10,False
Bobance,Beemaster,6,False
Befell,Blote,5,False
Brawner,Befrill,6,False
Baboo,Barefacedly,9,False
Bladebone,Bettor,7,False
Backsword,Bryozoa,7,False
Beclap,Brassicaceous,11,False
Blooming,Bronchophony,8,False
Boulter,Bushfighter,7,False
Brownwort,Banlieue,8,False
Belled,Bega,4,False
Biggest,Biotite,5,False
Backplate,Brike,6,False
Biting in,Broomstaff,9,False
Borsten,Baron,4,False
Bandied,Bake,4,False
Besnow,Braccate,7,False
Bashi-bazouk,Bluebottle,10,False
Blite,Baltimore bird,10,False
Brighten,Bolty,6,False
Blushless,Bullfice,7,False
Bipectinate,Benjamin,8,False
Bootjack,Bield,7,False
Basicity,Bloom,7,False
Backstitch,Brothered,9,False
Bogie,Bethumped,7,False
Bay leaf,Breasthook,8,False
Bardship,Bolognian,7,False
Beldame,Begetter,5,False
Brike,Barium,3,False
Blocking course,Blattering,12,False
Butterbird,Bred,7,False
Bonmot,Brigandish,8,False
Broody,Booty,2,False
Buggy,Boxhauling,8,False
Balsamiferous,Baneberry,9,False
Brutifying,Brunswick black,11,False
Beadlery,Bibliolatrist,10,False
Binoxalate,Bachelor,8,False
Bifurcation,Bookseller,10,False
Belaboring,Butylene,8,False
Backwards,Brasen,7,False
Betted,Butyric,5,False
Bilge,Bepuffed,6,False
Baffled,Bulbaceous,8,False
Bibliopegy,Bevilled,7,False
Batsman,Blandishment,7,False
Bordlode,Brassy,6,False
Boragewort,Bundled,8,False
Brokenly,Bleat,6,False
Bannition,Bezel,8,False
Bagging,Bedegar,6,False
Burked,Bagworm,6,False
Bisect,Babyish,6,False
Bedesman,Bletonism,7,False
Botuliform,Brewed,9,False
Brook,Bucentaur,8,False
Barwood,Bell pepper,10,False
Bleating,Bretzel,5,False
By-product,Benches,9,False
Balisaur,Bespoke,7,False
Bedeviling,Bleach,8,False
Bowess,Brazen,5,False
Ballium,Blacks,5,False
Bohea,Blastophore,8,False
Blinkard,Bespotting,9,False
Bullyrock,Bedquilt,8,False
Braunite,Buffo,6,False
Bisulphide,Brunswick black,13,False
Basking shark,Buddhist,11,False
Bah,Beetled,6,False
Biacuminate,Bridgepot,9,False
Bearberry,Bestialized,9,False
Blackamoor,Bestraught,8,False
Betokened,Bullen-nail,9,False
Bristletail,Bonefish,9,False
Bursary,Begild,6,False
Boastingly,Bidet,8,False
Boatswain,Bordering,6,False
Bergmaster,Blindfolding,11,False
Boated,Bird's-foot,10,False
Barterer,Birse,5,False
Brutely,Braziletto,7,False
Bandaging,Block,8,False
Bardish,Brushy,4,False
Boundary,Barberry,5,False
Billethead,Bravely,8,False
Bussed,Beshrew,4,False
Behind,Buccinator,7,False
Bibliographical,Bewigged,12,False
Bidding,Bisecting,4,False
Baksheesh,Bander,6,False
Biped,Betrust,6,False
Brutely,Bowshot,6,False
Browbound,Beehive,8,False
Bloomary,Branchiferous,11,False
Beath,Bejeweling,8,False
Bracelet,Bodeful,6,False
Blastoderm,Beaconed,6,False
Biped,Bereave,5,False
Billeting,Besprinkling,8,False
Bogtrotter,Barbellulate,10,False
Bamboozled,Brabbler,6,False
Bedwarfed,Bisected,6,False
Barbarizing,Bachelorship,9,False
Burst,Benedick,7,False
Beardie,Beeswing,5,False
Bespitten,Bird's-eye,8,False
Beslave,Beriberi,6,False
Brahmanic,Baldpate,7,False
Birched,Biscayan,5,False
Burrel fly,Boozy,8,False
Broke,Badgering,7,False
By-walk,Batting,6,False
Bedplate,Bead proof,6,False
Bungo,Breather,7,False
Bible,Bilocation,8,False
Brand spore,Beeves,9,False
Bilingualism,Bitumen,9,False
Bleating,Bisulphuret,9,False
Blared,Bewitching,9,False
Beleaguer,Blockheadism,9,False
Beamy,Boraginaceous,11,False
Bouse,Blest,3,False
Beknave,Bondstone,7,False
Ballahoo,Bleat,5,False
Brittleness,Becalm,9,False
Becripple,Barmote,6,False
Bowline,Bejewelling,6,False
Bombazet Bombazette,Branchiomerism,15,False
Brompicrin,Bray,8,False
Backplate,Belonging,8,False
Bromyrite,Bespattering,9,False
Bimaculate,Bivious,7,False
Boring,Bay ice,5,False
Berating,Boneless,7,False
Butterwort,Bivalvous,8,False
Barmote,Boltrope,5,False
