Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Circuiteer,Catadromous,10,False
Clatter,Clavy,4,False
Cormogeny,Clearstraching,11,False
Complained,Conglaciation,8,False
Coachmanship,Contribution,10,False
Cross-examination,Celestialize,12,False
Conservant,Catechetics,10,False
Conscienced,Candidate,7,False
Catchup,Clare,6,False
Crossette,Cheiropterygium,11,False
Crown side,Ciderkin,8,False
Circumferentially,Clarigate,14,False
Colonizing,Chainlet,8,False
Contractible,Conchylious,8,False
Character,Columbia,8,False
Conceivable,Cloying,9,False
Choristic,Caraboid,6,False
Concavation,Capilliform,10,False
Catacaustic,Complimentary,11,False
Childing,Cosy,7,False
Centaury,Charte,6,False
Craber,Clavigerous,7,False
Compatibly,Conics,7,False
Commensation,Continuative,6,False
Confraternity,Chekmak,11,False
Combining,Casinos,6,False
Cereus,Columbic,7,False
Cruddle,Cherub,6,False
Cockhead,Clutch,7,False
Coaster,Cerebrums,8,False
Creedless,Coax,8,False
Congratulation,Consenter,10,False
Cachucha,Corradiation,10,False
Clypeus,Communicable,11,False
Cranial,Consulary,7,False
Cyclone,Cestus,6,False
Confucianism,Cytoplasm,8,False
Cut-out,Coelacanth,8,False
Chinche,Carried,6,False
Courtship,Crossbred,8,False
Cokes,Capitulating,11,False
Changeableness,Crouper,12,False
Chorist,Cementatory,9,False
Carbineer,Cannular,6,False
Commixion,Crave,8,False
Complicacy,Coucal,6,False
Culpabilities,Countreplete,9,False
Coalescing,Crispin,6,False
Catechistical,Chillness,10,False
Cetene,Collaboration,11,False
Cunette,Cinchonic,7,False
Commodity,Cordialities,8,False
Coagulum,Cookee,6,False
Coprophagous,Centrolinead,10,False
Choree,Cullion,6,False
Clogged,Clavellate,8,False
Carnous,Cognoscenti,8,False
Cutty,Comminution,8,False
Commissarial,Chemosmosis,8,False
Converter,Copper works,7,False
Cortes,Chartometer,7,False
Compendiate,Criticisable,9,False
Contention,Correption,3,False
Cadger,Crucifying,9,False
Ceduous,Chicken,6,False
Crocein,Corybantic,7,False
Cicadas,Conformer,8,False
Cockchafer,Confession,8,False
Calculating,Cerographic,9,False
Climb,Cataractous,10,False
Crannying,Charre,7,False
Centuplicating,Confining,8,False
Condite,Centurist,6,False
Covey,Conceding,6,False
Chequing,Compromit,8,False
Crocking,Craping,3,False
Cerated,Confiner,6,False
Casemented,Correption,8,False
Curateship,Comedones,9,False
Christianite,Concinnous,9,False
Cerago,Consummating,10,False
Cockleshell,Cotyledonary,8,False
Consulter,Castling,6,False
Circumgestation,Caproate,12,False
Congeniality,Cestoldean,10,False
Cachalot,Creativeness,10,False
Cannon,Cercus,5,False
Cheyennes,Compressive,9,False
Colures,Calendula,7,False
Cowed,Conically,7,False
Competing,Colour,7,False
Canoemen,Conscript,7,False
Cardiacle,Commissioned,9,False
Culinary,Countretaille,10,False
Chlorine,Craze-mill,8,False
Cavern,Chatted,5,False
Chiragrical,Cortical,5,False
Courtesan,Chirographist,10,False
Consulship,Crimped,9,False
Compete,Curacoa,6,False
Cormophylogeny,Check,11,False
Chekmak,Cryophorus,9,False
Complimentary,Cowboy,10,False
Corndodger,Chimer,7,False
Cervicide,Cajolery,8,False
Cockaded,Cavalierism,9,False
Cannonering,Crucifier,9,False
Cibol,Connaturality,11,False
Carrot,Chirurgery,7,False
Cerosin,Curr,5,False
Chiff-chaff,Cawing,10,False
Campania,Cabiai,4,False
Coronoid,Commemorate,8,False
Conveying,Candytuft,7,False
Cremate,Creditress,5,False
Cogitation,Crateriform,8,False
Christianized,Circumferential,12,False
Coessentiality,Castellan,10,False
Chopness,Cajuput,7,False
Crucifixion,Cirrhiferous,8,False
Calcination,Calcivorous,6,False
Cauterized,Conjoin,8,False
Climatological,Croissante,12,False
Connoting,Contortion,4,False
Citiner,Calix,5,False
Chimney-piece,Confrontment,11,False
Cohesible,Charm,7,False
Consecrate,Contortuplicate,9,False
Catamaran,Clake,7,False
Crammed,Chepster,6,False
Confortation,Crossbeak,10,False
Chesible,Charlatanic,9,False
Cymiferous,Coenesthesis,10,False
Coworker,Corivalship,9,False
Chickling,Chronogrammatical,14,False
Collodium,Chargeship,9,False
Cripply,Carbonyl,6,False
Crustily,Corporalities,9,False
Cambium,Compulsory,8,False
Cockney,Coney,2,False
Crooken,Cowlstaff,8,False
Confidentness,Cordal,10,False
Cosmotheism,Corpuscule,9,False
Chordee,Consolidated,8,False
Cogging,Chigre,5,False
Colonial,Carolina pink,8,False
Cupfuls,Calycled,6,False
Certificating,Cointension,10,False
Cartouches,Cawk,8,False
Cercarian,Conceitless,9,False
Conscienceless,Crevalle,10,False
Coriaceous,Civillty,8,False
Conchyliologist,Casket,13,False
Clusteringly,Congratulator,12,False
Caloricity,Costotome,9,False
Cultuses,Cynanche,7,False
Cental,Currencies,7,False
Curtsy,Chamberer,8,False
Cowhearted,Cockneyism,8,False
Centime,Calcographical,12,False
Char-a-bancs,Conformities,10,False
Collectible,Commark,9,False
Crewel,Criminality,8,False
Contaction,Circumvented,11,False
