Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Discrepance,Dissecting,7,False
Durant,Designator,7,False
Dioecian,Debtee,6,False
Discommon,Detrain,7,False
Date,Disowning,8,False
Drooling,Depauperize,9,False
Djinns,Disperson'ate,11,False
Dimming,Disk,5,False
Drollish,Downstream,9,False
Day-net,Disputant,7,False
Dasypaedal,Dovekie,8,False
Derogation,Demented,7,False
Discarding,Despoiled,8,False
Devolute,Debruised,6,False
Dasyure,Daw,5,False
Defining,Did,6,False
Dihedron,Depreciator,8,False
Discession,Disquisitorial,8,False
Dowdies,Drawlink,5,False
Datura,Disproportionate,13,False
Domebook,Dereling,6,False
Devour,Diplomatical,10,False
Dislocation,Decameron,7,False
Diminishable,Drudgingly,9,False
Dysluite,Disslanderous,9,False
Deadbeat,Deceptible,8,False
Daintrel,Delimitation,9,False
Discolored,Denizenize,9,False
Drank,Deergrass,6,False
Demonolatry,Dethroning,8,False
Deplorable,Depone,5,False
Derailment,Dyke,8,False
Disburgeon,Deictic,9,False
Dunder-headed,Distillatory,12,False
Disdain,Demoiselle,7,False
Districtly,Dear-bought,10,False
Devoir,Dividual,6,False
Distinguishedly,Dispurveyance,12,False
Dare,Dawsonite,6,False
Deliverness,Dance,9,False
Disseminate,Disheartening,8,False
Decennaries,Daintrel,7,False
Disespouse,Daggling,9,False
Dreaminess,Digynous,7,False
Dusty,Doleritic,7,False
Discorporate,Doling,10,False
Dry-fisted,Dovish,7,False
Declarant,Do–a,7,False
Diplomatist,Despondingly,10,False
Disparted,Disciplinable,8,False
Deceptible,Diuretic,7,False
Duumvirate,Dosed,9,False
Dastardly,Draper,7,False
Debonairness,Definition,8,False
Disintegrable,Dastardy,9,False
Damming,Divi-divi,7,False
Disaster,Decarburize,8,False
Dividual,Docimology,8,False
Disutilize,Duper,8,False
Despair,Discage,4,False
Declinometer,Displeaser,8,False
Dulcimer,Devise,5,False
Devil-diver,Disadventure,9,False
Dined,Doodle,5,False
Depredating,Doctoress,10,False
Drap d'ete,Deities,8,False
Dietitian,Devolved,7,False
Diplomatial,Dirkness,9,False
Dotish,Disclosing,7,False
Damar,Dolorous,6,False
Dyspnoea,Depicting,8,False
Desperate,Doffing,8,False
Dovish,Decayed,6,False
Disembody,Dishabille,6,False
Deliciously,Dinsome,8,False
Dodging,Disimprovement,11,False
Domesman,Delineator,8,False
Disintegrator,Detractingly,12,False
Disenchanter,Diamagnetism,10,False
Debark,Dazing,5,False
Dendrologous,Dentate-sinuate,11,False
Dzeron,Dismissed,8,False
Dazed,Dustiness,7,False
Disburthening,Decanting,8,False
Diversify,Disfurnish,6,False
Diaries,Dogwatch,7,False
Dilluing,Disregardful,10,False
Disheveling,Davyum,9,False
Denudation,Disclaim,7,False
Disaffect,Discriminated,9,False
Daggle-tail,Decreasing,9,False
Debuscope,Demeanor,6,False
Decayer,Debosh,5,False
Disjunct,Disacknowledge,10,False
Dweller,Disgrace,7,False
Disinclose,Decidence,7,False
Distream,Definitively,8,False
Dislocating,Dur,10,False
Dental,Desirability,8,False
Disintegrating,Demagnetize,10,False
Debiting,Dura mater,9,False
Dissonant,Disrespectable,9,False
Dastardized,Disincorporating,13,False
Divi-divi,Dishabituate,9,False
Deodar,Defamatory,6,False
Dentelle,Discompt,7,False
Dulcinea,Decimosexto,8,False
Depraving,Druidish,7,False
Delightedly,Dephlegmation,9,False
Donzel,Disburthen,8,False
Disherit,Dipneumona,7,False
Disprince,Decanting,7,False
Dodo,Deoxidizer,7,False
Despicableness,Diathetic,10,False
Disbench,Delict,6,False
Deflagrability,Declaratively,6,False
Domineered,Dishallow,9,False
Distraining,Drie,8,False
Declamation,Discommendable,11,False
Diallel,Deflowerer,7,False
Ditokous,Dactylomancy,9,False
Disimpark,Doxy,8,False
Defining,Dear-bought,8,False
Diurnation,Dextronic,8,False
Dejectly,Despoilment,8,False
Decivilize,Dolmen,8,False
Diathermanous,Dorrfly,11,False
Dietine,Damnably,7,False
Disgustful,Debarrass,9,False
Draco,Digress,5,False
Devanagari,Disappendency,10,False
Discourteous,Dogship,10,False
Defedation,Demit,7,False
Difformity,Docimastic,9,False
Drolling,Definition,8,False
Doled,Durylic,5,False
Disloyalty,Deliciousness,10,False
Dataria,Deported,6,False
Drabbling,Dispurveyance,11,False
Disfancy,Devata,6,False
Devastator,Diagnoses,8,False
Dairyman,Dehiscent,7,False
Distensive,Dollardee,8,False
Dudish,Disassociate,10,False
Degrade,Deplorableness,9,False
Dimidiate,Dependingly,8,False
Dimensional,Deflectionize,8,False
Dacoity,Distributive,9,False
Downward,Deuced,6,False
Disentangled,Devil bird,9,False
Debased,Diathermic,8,False
Droop,Dispeople,6,False
Depauperated,Diptera,7,False
Divide,Distractive,7,False
Devoration,Disenrolled,9,False
Diageotropic,Disseizure,9,False
Dragomans,Denture,8,False
Discrasies,Dephlogisticating,12,False
Durability,Dentil,7,False
Domesticity,Dystome,8,False
Durst,Denominatively,12,False
Disheritor,Dandyise,8,False
Disreverence,Dilapidator,10,False
Depositum,Dicyemata,8,False
Derivement,Delightsome,8,False
Dejeuner,Dyingness,6,False
Delightable,Drawbolt,9,False
Doodle,Disputableness,11,False
Deauration,Danegeld,8,False
Despiser,Divedapper,6,False
Disenrolled,Durable,7,False
Depurant,Disfavorably,9,False
Debouching,Disafforesting,9,False
Daphnin,Derivative,8,False
Detachment,Dishevel,8,False
Dejerate,Disarrange,6,False
Deviatory,Desiccant,6,False
Discordant,Dampness,9,False
Diablerie,Decitizenize,7,False
Disappendency,Decreaseless,11,False
Diagnoses,Daker,6,False
Duller,Dispraiser,7,False
Deliciate,Disinvestiture,10,False
Divested,Displeasedly,7,False
Desolating,Despume,7,False
Distensive,Dactylonomy,9,False
Depreciatory,Demonism,9,False
Divorcing,Domiciling,6,False
Diffluent,Domify,8,False
Dioceses,Dissipating,9,False
Degloried,Divinization,10,False
Deteriorated,Drafting,10,False
Distrusted,Duan,8,False
Diet,Doryphoros,9,False
Drunkship,Depicture,8,False
Discolorate,Dilapidator,8,False
Disjuncture,Deliquesced,10,False
Drooling,Dismissive,8,False
Devirginate,Depthen,8,False
Dickey,Derk,4,False
Dispensable,Dubiousness,9,False
Diapason,Disparities,7,False
Dicoccous,Dappling,8,False
Divel,Deitate,5,False
Donation,Demirelief,8,False
Diaconal,Died,6,False
Demoiselle,Donation,8,False
Depertible,Diplocardiac,9,False
Decimal,Dewless,5,False
Double-dyed,Deconcentration,13,False
Disme,Deambulate,7,False
Displeasure,District,8,False
