Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Endothorax,Epistilbite,9,False
Edelweiss,Emiction,7,False
Epithalamia,Endognath,9,False
Evil-eyed,Excuser,7,False
Ebracteolate,Ex officio,11,False
Electroscope,Engendrure,9,False
Evicted,Enthymeme,7,False
Engineering,Extravagantness,13,False
Erebus,Enjoy,5,False
Expeditate,Exalt,7,False
Editioner,Ethionic,5,False
Equisonant,Exorcism,9,False
Ennobling,Eagrass,8,False
Epiphyte,Extras,7,False
Exedent,Esculic,6,False
Epsom salts,Egyptological,10,False
Equinox,Earcockle,8,False
Essayer,Elongated,6,False
Emeer,Exuberant,6,False
Effectuously,Evulgate,10,False
Enactive,Entrust,6,False
Enswathement,Extraprovincial,12,False
Egad,Eccoriate,7,False
Endorsed,Edentate,7,False
Earthmad,Eradicate,7,False
Eventualities,Emptier,9,False
Explate,Earmarking,8,False
Expressionless,Eaten,11,False
Ebionitism,Eucharistic,8,False
Epidermical,Ectolecithal,8,False
Epistilbite,Exposed,9,False
Evacuatory,Exosmosis,9,False
Earnful,Expunge,6,False
Euphonical,Enneandria,8,False
Epignathous,Englishwomen,9,False
Excoriation,Emprint,7,False
Establishmentarian,Embezzled,15,False
Echinite,Elevation,7,False
Excito-nutrient,Extruct,10,False
Embossment,Epiglottis,9,False
Extirp,Exodus,4,False
Encourage,Expostulating,9,False
Embattling,Epizoon,8,False
Epitomized,Exaltation,8,False
Encoring,Electro-negative,11,False
Egotistically,Exceptional,9,False
Eagre,Endoplastica,10,False
Exterritoriality,Eruginous,13,False
Epiperipheral,Endosmosmic,12,False
Eradiation,Embassadry,8,False
Excito-nutrient,Elogist,11,False
Endopleura,Exhumed,8,False
Eleemosynaries,Eggplant,12,False
Elasmobranchiate,Electrify,12,False
Enfeoff,Excellent,7,False
Encrinus,Elytriform,7,False
Earlock,Evangely,6,False
Ethylsulphuric,Experimentation,13,False
Eelpout,Enema,6,False
Elucidative,Efforce,9,False
Epidermoid,Exinanite,8,False
Electary,Edibleness,8,False
Esoterical,Eradicated,8,False
Eserine,Entoiled,5,False
Entomologic,Egranulose,8,False
Ensconced,Eardrum,8,False
Entailed,Errantia,6,False
Educator,Ebrious,7,False
Endothelia,Equalized,9,False
Eternalist,Elatrometer,9,False
Estopping,Earthshock,8,False
Emeritus,Effossion,8,False
Encomiast,Eligibility,8,False
Extirper,Ecstatic,7,False
Extemporiness,Erugate,11,False
Enjailing,Estafette,7,False
Electro-capillarity,Encyclopedic,15,False
Elevating,Exauthorate,10,False
Embryonal,Encircling,8,False
Ecdyses,Elimination,10,False
Epotation,Endogenous,8,False
Excreting,Emparlance,8,False
Exode,Evincible,7,False
Expansive,Echinate,6,False
Electrolier,Evulgate,9,False
Emporia,Encoubert,7,False
Egotistical,Entoiled,8,False
Eupione,Eozoa,5,False
Ekename,Elysiums,6,False
Extendant,Endoss,6,False
Experimentist,Enormous,9,False
Epistle,Epipterygoid,8,False
Evert,Epididymitis,10,False
Entoplastic,Evict,9,False
Emboldened,Eudaemonistic,11,False
Exulted,Equinia,5,False
Emperished,Emboweler,7,False
Ectental,Echelon,5,False
Ect-,Envisaged,8,False
Ectopia,Exhorting,6,False
Ensconced,Eradiation,9,False
Epicurean,Extructive,8,False
Entozoic,Equipollently,11,False
Eye-spot,Exotheca,7,False
excoriating,Epi-,10,False
Electroplater,Endaspidean,11,False
Ecphonesis,Esteeming,8,False
Effecting,Excretory,7,False
Entobronchium,Extinction,8,False
Emperice,Exinanition,9,False
Entoil,Effigies,6,False
Etherealize,Enshrined,8,False
Eventful,Est,6,False
Epigrammatic,Embowelment,10,False
Esurient,Exorcist,5,False
Estatlich,Embattling,5,False
Expetible,Explicate,5,False
Epicoene,Escaloped,7,False
Expective,-et,7,False
Extirpation,Epipharynx,8,False
Emenagogue,Everliving,8,False
Ecthoreum,Elegiast,8,False
Encrimson,Evolute,8,False
Entogenous,Elanced,8,False
Emboldening,Engorge,8,False
Eretation,Eruca,6,False
Electrolyzing,Exchangeably,11,False
Elative,Endorsed,6,False
Eroded,Englishwoman,10,False
Ecphonesis,Endenize,8,False
Envy,Extorting,8,False
Enunciate,Etherification,10,False
