Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Farseeing,Ferrous,7,False
Frothing,Fairies,6,False
Friday,Frere,4,False
Fleshhood,Facta,8,False
Filthily,Fretten,6,False
Fictionist,Fleeceless,8,False
Fossoria,Formate,6,False
Favosites,Fabulous,6,False
Feu de joie,Flecker,9,False
Forbruise,Fluvial,7,False
Frighting,Fore-topgallant,11,False
Fan palm,Frutescent,9,False
Fortunateness,Fribble,10,False
Figulated,Fungivorous,9,False
Fend,Fodder,4,False
Former,Familiarities,10,False
Foursquare,Fibrinous,8,False
Fatal,Fallacious,7,False
Flurried,Faulted,4,False
Fustet,Forked,4,False
Funky,Flasher,6,False
Fiduciary,Flammens,8,False
Franklinite,Foreyard,10,False
Forinsecal,Feoff,8,False
Flatuosity,Fending,8,False
Fulgidity,Febriferous,9,False
Fetichistic,Finitely,8,False
Finicking,Folios,7,False
Fulgurate,Filed,7,False
Freta,Frizzed,5,False
Frisk,Forecast,5,False
Fussy,Feldspath,7,False
Fraying,Fon,5,False
Forbidden,Flirtation,7,False
Feminity,Firmly,5,False
Forejudge,Fair-world,8,False
Fortuity,Frangipani,8,False
Fretten,Flimflam,7,False
Fone,Furling,5,False
Father-in-law,Forzando,10,False
Fairy,Fulgently,7,False
Februation,Friendless,9,False
Farad,Forelook,6,False
Finlet,Footfight,7,False
Fleetness,Forgettable,8,False
Fair-world,Frost-blite,9,False
Fluster,Fishhawk,7,False
Fantastic-alness,Feazing,12,False
Fasciated,Flanged,6,False
Feaster,Fuming,6,False
Fetishist,Faule,8,False
Franklin,Fohist,7,False
Flannen,Fisher,5,False
Fortuity,Firmness,6,False
Flagstaff,Fessitude,7,False
Fustianist,Finery,7,False
Fodientia,Fudge wheel,8,False
Forswear,Fiscal,5,False
Feud,Frouzy,4,False
Fringillaceous,Flap-mouthed,12,False
Flagellata,Freckling,8,False
Fo'liolate,Focal,7,False
Friezed,Falsary,6,False
Flinching,Fusibility,7,False
Flower,Fetching,7,False
Fetich,Flower-fence,9,False
Faultiness,Fixedly,8,False
Fulmine,Filametoid,7,False
Frustration,Flotation,4,False
Funerate,Forehearth,6,False
Flies,Figurated,7,False
Falness,Festival,7,False
Fripperer,Forefather,6,False
Fecal,Furfuraceous,10,False
Flatted,Foster,4,False
Forpine,Fossorious,7,False
Fiacre,Fibrillation,9,False
Fistic,Favus,5,False
Faradization,Flagellator,8,False
Fascicled,Fossette,6,False
Fijian,Fleshings,7,False
Foveola,Forehew,4,False
Free-spoken,Foussa,9,False
Frank,Fumitory,7,False
Fowler,Feminize,7,False
Felonies,Fervescent,7,False
Fres'nel' lan'tern,Fritillaria,13,False
Forgiver,Fidgeted,5,False
Fyke,Friation,7,False
Fatigation,Fiddlestring,9,False
Flatness,Falsism,5,False
Flambeaus,Five-leaf,7,False
Faradism,Flare,6,False
Frog,Fictor,4,False
Flagitious,Furbisher,8,False
Faceting,Fuero,6,False
Firry,Fevering,6,False
Filamentary,Formedon,8,False
Familisteries,Fabricant,10,False
Flabbiness,First,7,False
Fucivorous,Free,8,False
Fluxive,Forejudger,8,False
Flaked,Festerment,8,False
Foothook,Forme,6,False
Fenceful,Fosseway,6,False
Fir,Fibrillated,8,False
Filigree,Fumous,7,False
Fulminating,Familistery,8,False
Feminize,Frogmouth,8,False
Fretten,Ferret-eye,5,False
Fenestra,Fo,7,False
Fumacious,Fitter,8,False
Formulize,Fungibles,8,False
Factotums,Fulgury,7,False
Fessitude,Froggy,8,False
Fluxionary,Fondness,8,False
Fishing,Fothered,6,False
Filch,Fumosity,7,False
Funding,Fleshing,4,False
Fixure,Foemen,5,False
Foxglove,Fucoidal,7,False
Feoffing,Feelingly,5,False
Fearless,Fightingly,9,False
Flat-cap,Fussed,7,False
Fossores,Florence,6,False
Finfoot,Fanatic,5,False
Flounce,Fuchsia,6,False
Forearm,Floe,5,False
Flushed,Fleur-de-lis,8,False
Forcut,Flaunted,6,False
Fibrinoplastic,Fertilizer,11,False
Farthest,Fascinous,7,False
Foreappoint,Fragmentak,8,False
Ferie,Fabulizing,8,False
Flagitious,Fumosity,8,False
fifing,Fuzzy,6,False
Flashily,Fellow-commoner,13,False
Fisheries,Frist,6,False
Fourhanded,Fraternizing,10,False
Ferriage,Firecrest,7,False
Fatherless,Fervor,7,False
Folious,Funiliform,6,False
Flicker,Flippantly,7,False
Fiend,Fermillet,7,False
Flapping,Fixed,7,False
Forewomen,Franion,6,False
Forepast,Fertilization,10,False
Flouncing,Fugato,7,False
Frank-marriage,Forehear,11,False
Funerate,Forementioned,9,False
Faceting,Fortunateness,10,False
Flirtation,Favus,8,False
Fragmental,Froze,7,False
Fishgig,Flection,6,False
Foh,Fantom,4,False
Flavine,Feticide,5,False
Frapped,Felonous,7,False
Flowerlessness,Folks,10,False
Fulcrate,Free-hand,7,False
Fonde,Fluviatic,8,False
Frumper,Father-in-law,11,False
Fulahs,Functionalize,10,False
Fearsome,Filtrating,8,False
Favose,Frowzy,5,False
Freaked,Flouter,5,False
Formalize,Flotation,6,False
Flambeaus,Fother,7,False
Flocked,Feuar,6,False
Fleetly,Feal,4,False
Force pump,Foregame,5,False
Forejudger,Farmyard,8,False
Flagged,Fulfill,6,False
Forslouthe,Flusher,6,False
Furbish,Feminize,6,False
Filthily,Formal,6,False
Fecial,Florally,5,False
Forthputing,Fumitory,9,False
Fervor,Floorheads,8,False
Fluky,Foddering,8,False
Furzy,Fourrier,5,False
Forenotice,Freckling,6,False
Final,Feared,5,False
Foreseen,Fresh,4,False
Forepast,Fenestrule,8,False
Fletch,Feasibility,9,False
Footboy,Frouzy,4,False
Fahlband,Freya,6,False
Fenny,Flasket,6,False
Flatboat,Furze,7,False
Filar,Falconer,5,False
Funny,Fittedness,8,False
Fraischeur,Figary,8,False
Football,Fadge,7,False
Fourling,Fronded,7,False
Forsay,Fugleman,6,False
Fucus,Fable,4,False
Finnikin,Finder,5,False
Fraudulency,Fecifork,10,False
Flaxweed,Fowler,5,False
Friesic,Flask,5,False
Fiveling,Fatigate,7,False
Fast,Fren,3,False
Facial,Flicker,5,False
Flickering,Filching,5,False
Feudalize,Frithstool,9,False
Fulsome,Fluke,4,False
Felspath,Feigning,6,False
Fierce,Flauto,5,False
Feminize,Footstall,8,False
Fulgurating,Frislet,9,False
Fluosilicate,Faldstool,10,False
Fearful,Freebooting,9,False
Fortunately,Fleet-foot,10,False
Fumigate,Fruitless,7,False
Fauteuil,Fenerate,7,False
Farmer,Formulizing,8,False
Flurrying,Fraenums,8,False
Fool,Feathering,9,False
Fumette,Foresay,5,False
Foresay,Flowerage,5,False
Frisker,Fervent,6,False
Flexed,Farmstead,6,False
Fingrigos,Freshmanship,10,False
Flax,Foryelde,6,False
Fortilage,Fashionless,8,False
Falcade,Fibrine,5,False
Falcer,Flagitate,7,False
Fray,Forfete,5,False
