Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Geason,Gordian,5,False
Grizzly,Gooseberries,11,False
Glombe,Gatepost,7,False
Glottidean,Gyrating,7,False
Gozzard,Good-looking,10,False
Grumbly,Goatee,6,False
Grided,Genio,5,False
Gaiter,Grindelia,6,False
Graffer,Goldie,5,False
Gruf,Glittered,7,False
Glycolic,Gloam,5,False
Glimpsed,Ging,6,False
Goel,Granitic,7,False
Gramme,Gin,5,False
Goblin,Gasometrical,9,False
Graniferous,Gillyflower,9,False
Gluey,Gadabout,7,False
Garboard,Goatlike,7,False
Goosefish,Gore,6,False
Guilding,Gothamite,7,False
Glucosuria,Grandpa,8,False
Gamble,Gtratuities,8,False
Galacta-gogue,Gentle,10,False
Glist,Gelatinate,6,False
Glew,Garble,4,False
Griffe,Gloss,5,False
Gelation,Gismondine,8,False
Gaze,Grumous,6,False
Gnathopod,Geic,8,False
Guideless,Goldfish,6,False
Genuine,Gnoscopine,6,False
Goodliness,Glabriate,8,False
Gaverick,Guillemot,8,False
Grumbly,Griped,5,False
Gluttonish,Gibbered,9,False
Gastronomist,Gospelizing,9,False
Greenback,Gutturalness,10,False
Gauding,Gypsum,6,False
Goutiness,Grandity,8,False
Gordius,Grain,4,False
Gunny cloth,Gonangium,9,False
Gallicanism,Gristle,9,False
Glandage,Gelatinous,7,False
Granuliform,Grauwacke,7,False
Granolithic,Gingle,8,False
Gepound,Gymnoblastea,10,False
Gracility,Genevan,8,False
Gagged,Gourde,5,False
Good-natured,Gloried,8,False
Guidepost,Glutination,8,False
Gaze,Gravitative,8,False
Gaucho,Granuliform,7,False
Geometrical,Greenlet,9,False
Genii,Gallivant,7,False
Ghostless,Gammer,7,False
Grizzle,Gena,6,False
Goatee,Grassless,6,False
Geophagous,Gane,8,False
Glistering,Grandiosity,9,False
Glandes,Gerlond,5,False
Gypsiferous,Glutinous,6,False
Garroted,Gasolier,5,False
Glochidium,Gramarye,9,False
Guarded,Gratulate,7,False
Gloating,Geste,6,False
Governing,Gadolinic,7,False
