Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Hent,Histophyly,8,False
Helmwind,Haircloth,8,False
Hollow-hearted,Haddie,12,False
Hippurite,Housewifely,8,False
Heraldry,Hektograph,7,False
Hexaphyllous,Horribleness,10,False
High-finished,Honeystone,11,False
Hackle,Huisher,5,False
Hastings sands,Hafter,11,False
Hygeia,Hol,5,False
Hard-mouthed,Hugger,9,False
Hydracrylic,Haulm,8,False
Hadsome,Hobson's choice,11,False
Hot,Halo,3,False
Hydroxyl,Hogget,7,False
Holocryptic,Hewe,10,False
Hydrocyanic,Hercogamous,9,False
Hypercritical,Herculean,8,False
Hung,Haematotherma,12,False
Handcuff,Hobbist,7,False
Hydro-electric,Hysteria,9,False
Hen-hearted,Hither,7,False
Hydroferricyanic,Housewifery,13,False
Horridly,Hetarism,6,False
Hauled,Hinderer,6,False
Horticulturist,Highwaymen,12,False
Hepatized,Harmonization,10,False
Hard-hearted,Harpagon,8,False
Hypercriticism,Hurtless,10,False
Hesperornis,Hiddenite,8,False
High-finished,Hissing,9,False
Haemochromogen,Hooves,10,False
Halloo,Hydroguret,8,False
Hutting,Hopeful,6,False
Hexametrist,Hobbletehoy,8,False
Hypochondriasm,Heptaphyllous,11,False
Hybridism,Hypothetist,7,False
Harmony,Humiri,5,False
Hexapoda,Hexangular,5,False
Hewhole,Hecatomb,5,False
Hematoma,Hopbine,7,False
Harrower,Hockherb,6,False
Hesperidene,Holothure,9,False
Humoristic,Hierogrammatist,10,False
Haired,Hack,4,False
Hop-o'-my-thumb,Helicin,14,False
Hectocotylized,Hackle,10,False
Husbandable,Hawked,9,False
Humifuse,Hydatiform,7,False
Horseshoer,Hauler,7,False
Hippocrepian,Hymnography,8,False
Helmeted,Heathens,6,False
Hautein,Hydroxylamine,10,False
Hinduism,Hydrometallurgy,13,False
Hollander,Hollander,0,True
Hemadrometry,Hebridean,8,False
Haltingly,Huswifery,6,False
Hypogeum,Hydrotical,7,False
Hyphened,Hue,6,False
High-principled,Hemicollin,11,False
Horometry,Home-bound,8,False
Homoeothermal,Hallier,10,False
Hydrating,Harboring,5,False
Hetchel,Hieroglyph,8,False
Harping,Height,6,False
Hemisection,Hoveling,8,False
Herder,Home-felt,6,False
Hoofbound,Herself,8,False
Header,Horoscoper,7,False
Hypoarian,Heteropathy,9,False
Hypothesis,Heterodactyl,10,False
Highlander,Hurra,8,False
Hest,Hendecasyllable,12,False
Halacha,Histonomy,8,False
Hydrotelluric,Hoodman,11,False
Hypognatous,Hybodus,6,False
Half-blooded,Huswifely,11,False
Hedonic,Hart's-ear,9,False
Heterologous,Homogenetic,11,False
Hierographic,Hydra,9,False
Hortation,Humorously,8,False
Hippocamp,Hiring,7,False
High-holder,Hydragogue,8,False
Herbage,Hemicrania,7,False
Hatchure,Housage,6,False
Hagging,Highway,5,False
Hoppestere,Hairdresser,7,False
Heptandria,Hare-hearted,10,False
Helminthology,Hoa,11,False
Hypsometry,Half-witted,9,False
Hagberry,Horrid,6,False
Hilarity,Hypercriticise,10,False
Hut,Hydrometeorological,17,False
Hireling,Hamesucken,8,False
Honey-tongued,Hosier,10,False
Heddling,Harier,6,False
Hamlet,Huffing,6,False
Homogenetic,Home-coming,8,False
Homogeneousness,Hesitated,12,False
Haemadynamics,Hospitate,11,False
Hogwash,Homeopathy,6,False
Hearing,Hexagonal,5,False
Half-hatched,Hogget,10,False
Hoggerpipe,Hulking,8,False
Hemoothorax,Halos,9,False
Hypochondriacism,Herded,14,False
Husbandage,Heptateuch,8,False
Haematogenous,Harried,10,False
Hubble-bubble,Herling,11,False
Hindbrain,Heckimal,7,False
Hopbine,Hierogram,8,False
Hemipteran,Hydrosorbic,9,False
Holotricha,Hooke's gearing,12,False
Hostility,Holostomatous,8,False
Hypsometry,Hithe,8,False
Hirundo,Horsefoot,6,False
Hoatzin,Hemlock,6,False
Herpetotomy,Hickway,9,False
Hurlwind,Hautboy,7,False
Haemapodous,Heaving,8,False
Horde,Hampering,7,False
Hesperid,Hake,6,False
Housewarming,Hemorrhagic,10,False
Harness,Hersillon,7,False
Housebreaking,Hygroplasm,11,False
Harmine,Humus,5,False
Haymaker,Hot blast,8,False
Headmold shot,Heathenry,10,False
Honesty,Holaspidean,8,False
Hypoptilum,Hullabaloo,8,False
Harlotry,Humbug,7,False
Haply,Haemadromometry,12,False
Hermaphrodeity,Hexahedra,9,False
Hematoidin,Hand flus,9,False
Hemerocallis,Half-port,11,False
Hamleted,Hieroglyphically,14,False
Hexahedral,Holostraca,8,False
Hurl,Homoeopathy,10,False
Hydropult,How,7,False
Hectogramme,Her,8,False
Hymnography,Huckleberry,9,False
Hesperid,Happen,5,False
Hyperaesthesia,Homilite,11,False
Headland,Hobbled,5,False
Homotypal,Harl,7,False
Heliotypic,Heptene,7,False
Highfaluting,Holethnos,9,False
Hang,Hemipteran,8,False
Harnessing,Hallowmas,8,False
Hydrophytology,Harped,11,False
Haunter,Hardened,5,False
Haemoplastic,Heliochrome,10,False
Hydrophid,Heart-eating,9,False
Homologinic,Hypochlorite,8,False
Harbingering,Hydrotelluric,10,False
Hexavalent,Hogmanay,8,False
Halled,Hydroferricyanic,14,False
Hostie,High-souled,8,False
Hexacid,Hypercritical,10,False
Helispherical,Hoidenhood,10,False
Harder,Homotaxia,8,False
Hemisphere,Homespun,6,False
Hern,Hermitical,7,False
Highly,Hided,4,False
Headless,Heteroousious,9,False
Hockle,Hydropical,7,False
Heteromorphic,Hemastatical,11,False
Halcyonold,Hygienism,8,False
Haematemesis,Haematexylin,4,False
Habitation,Heliolatry,7,False
Hatcheler,Huskily,7,False
Hydrolytic,Hashing,9,False
Humming,Hornblendic,9,False
Hardiment,Habitance,6,False
Heptone,Hernia,5,False
Header,Hedgepig,5,False
Hypoplastra,Hybernation,8,False
Heartshaped,Harangue,7,False
Heptahedron,Herpetotomist,9,False
Hyperdulia,Harpooneer,9,False
Hade,Hypoaria,6,False
Haematocrya,Hydrosulphurous,13,False
Hogging,Hallelujatic,11,False
Hunger-bit,Hypotarsus,9,False
High-fed,Hereby,7,False
Hotfoot,Hooves,5,False
Heliocentric,Hussite,10,False
Heartshaped,Handsomely,8,False
Homologinic,Hibernian,9,False
Heart's-ease,Helmsman,8,False
Hospitalize,Humane,8,False
Hanger,Hedgeless,6,False
Horridly,High-flown,8,False
Hyoscyamine,Heterogeneal,10,False
Hummum,Healthless,9,False
Hydrophyllium,Homographic,10,False
Honoring,Hard-visaged,9,False
Hindered,Humbugger,7,False
Hurlbat,Herbid,4,False
Hydruret,Horsed,5,False
Hausen,Heterophemist,11,False
Hereunto,Hoe,6,False
Heliocentrical,Horner,10,False
Huchen,Human,3,False
Hydrogenized,Hap,11,False
Handcraft,Hornblower,8,False
Holystone,Hewer,8,False
Homoioptoton,Haziness,10,False
Holibut,Hasted,6,False
Hylobate,Hooper,6,False
Heart-wounded,Hagbutter,9,False
Hemerobian,Highmen,8,False
Hamleted,Hydrotheca,7,False
Hernial,Hearkening,5,False
Hadder,Horometrical,9,False
Hoiden,Historical,7,False
Hinderance,Hebrew,8,False
Haggard,Heliotrope,8,False
Horsy,Heng,4,False
Hore,Handily,6,False
Hubble-bubble,Housebuilder,9,False
Heterotropous,Hornpout,7,False
Hellbred,Heteroclitic,9,False
Hausse,Historical,9,False
Humiri,Hopscotch,8,False
Heritage,Hippocrene,8,False
Holostomatous,Heartwood,10,False
Harmonica,Humbugger,8,False
Hypothenar,Hipping,7,False
Hyalite,Hypocritic,6,False
Heterogenetic,Hachure,11,False
Habnab,Hypodicrotous,12,False
Hair-salt,Healthward,7,False
Hara-kiri,Hemi-demi-semiquaver,16,False
Hyponasty,Holmia,7,False
Hollaed,Hal'yard,4,False
Hooke's gearing,Healthless,13,False
Hockherb,Healthily,7,False
Hoiden,Hagiocracy,8,False
Hiccius doctius,Homocentric,13,False
Hidden,Hafter,4,False
Heritor,Henpeck,5,False
Halidom,Hazeless,6,False
Hircin,Histographical,10,False
Hydromellonic,Hostile,10,False
Hygrometry,Harmonite,7,False
Halos,Harpooneer,7,False
Horseflesh,Hogwash,6,False
Handcuff,Hyndreste,6,False
Haranguer,Hopingly,6,False
Henhussy,Histologist,9,False
Hierophantic,Harnessed,10,False
Heathenizing,Hussite,10,False
Haw-haw,High-churchman-ship,15,False
Hispanic,Heedful,7,False
Horsed,Home-driven,7,False
Hexicology,Haemaphaein,9,False
Hellborn,Hawm,7,False
Homographic,Henhussy,10,False
Hen-hearted,Hulchy,9,False
Hydrometallurgy,Hinnies,13,False
Hatred,Housecarl,7,False
Hippophagous,Hay-cutter,11,False
Hexene,Hospitalities,11,False
Hegemonic,Hypocrystalline,13,False
Heightened,Hexagon,7,False
Hesperidium,Homologous,9,False
Hemal,Helix,3,False
Hatter,Half-mast,7,False
Honeysuckled,Handcloth,9,False
