Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Abel,able,3,True
Adam,atom,3,True
Cain,cane,3,True
Chile,chilly,3,True
Czech,check,3,True
Dane,deign,5,True
Finnish,finish,2,True
Gail,gale,3,True
Hugh,hew,4,False
I,aye,3,True
Jim,gym,2,True
Lapps,laps,2,True
Lou,lieu,3,True
Nice,niece,2,True
Paul,pall,2,True
Pete,peat,3,True
Sioux,sue,4,True
Wayne,wane,2,True
acclamation,acclimation,1,True
ad,add,1,True
addition,edition,2,True
adds,adz,2,True
adherents,adherence,2,False
ado,adieu,3,True
aerial,ariel,2,True
affected,effected,1,True
afterward,afterword,1,True
aid,aide,1,True
ale,ail,2,True
all,awl,1,True
alluded,eluded,2,True
allusion,illusion,1,True
aloud,allowed,3,True
alter,altar,1,True
annalist,analyst,2,True
apatite,appetite,2,True
apprize,apprise,1,True
ark,arc,1,True
assent,ascent,1,True
assistants,assistance,2,False
auger,augur,1,True
aunt,ant,1,True
aural,oral,2,True
aureole,oriole,3,True
aweigh,away,4,True
ax,acts,3,False
axis,axes,1,True
axle,axel,2,True
ayes,eyes,1,True
baa,bah,1,True
babble,Babel,3,True
bade,bad,1,True
bait,bate,2,True
bald,balled,2,True
bale,bail,2,True
band,banned,2,True
barred,bard,2,True
barren,baron,2,True
basal,basil,1,True
base,bass,1,True
basis,bases,1,True
basque,bask,3,True
baste,based,2,True
bated,baited,1,True
bawl,ball,1,True
bazaar,bizarre,3,True
bear,bare,2,True
beat,beet,1,True
beau,bow,3,True
bee,be,1,True
beech,beach,1,True
been,bin,2,True
beer,bier,1,True
bell,belle,1,True
bettor,better,1,True
bib,bibb,1,True
bight,byte,4,True
bird,burred,3,True
birth,berth,1,True
blew,blue,2,True
block,bloc,1,True
boar,bore,2,True
bolder,boulder,1,True
bomb,balm,3,False
bootie,booty,2,True
border,boarder,1,True
bored,board,2,True
born,borne,1,True
bough,bow,3,True
bowed,bode,2,True
bowled,bold,2,True
brayed,braid,2,True
brays,braise,2,True
breach,breech,1,True
break,brake,2,True
bred,bread,1,True
brews,bruise,3,True
bridal,bridle,2,True
brooch,broach,1,True
brood,brewed,3,True
brows,browse,1,True
brut,brute,1,True
build,billed,3,True
bullion,bouillon,3,True
buoy,boy,1,True
burger,burgher,1,True
burrow,borough,5,True
bury,berry,2,True
bust,bussed,3,True
but,butt,1,True
bye,by,1,True
caddy,caddie,2,True
calender,calendar,1,True
callous,callus,1,True
canon,cannon,1,True
canter,cantor,1,True
canvass,canvas,1,True
capital,capitol,1,True
carrel,carol,2,True
carrot,carat,2,True
cash,cache,2,True
cashed,cached,1,True
cast,caste,1,True
castor,caster,1,True
caws,cause,2,True
cede,seed,3,True
ceiling,sealing,2,True
cellar,seller,2,True
censor,sensor,1,True
cent,scent,1,True
cereal,serial,2,True
chance,chants,2,False
chaste,chased,2,True
chauffeur,shofar,6,True
cheap,cheep,1,True
chic,sheik,3,True
choose,chews,3,True
cited,sighted,3,True
clack,claque,3,True
clammer,clamor,2,True
clause,claws,2,True
clew,clue,2,True
click,clique,3,True
climb,clime,1,False
cloze,close,1,True
coal,cole,2,True
coarse,course,1,True
coat,cote,2,True
coax,cokes,3,True
collared,collard,1,True
complaisant,complacent,3,True
complement,compliment,1,True
conceited,conceded,2,True
consonants,consonance,2,False
continence,continents,2,False
coo,coup,2,False
coolie,coulee,2,True
cops,copse,1,True
coral,choral,1,True
cord,cored,1,True
core,corps,2,False
coughers,coffers,3,True
council,counsel,2,True
coupe,coop,2,True
courser,coarser,1,True
cousin,cozen,3,True
cowered,coward,2,True
craft,kraft,1,True
creek,creak,1,True
crepe,crape,1,True
crewel,cruel,2,True
cruise,crews,3,True
cue,queue,3,True
current,currant,1,True
curser,cursor,1,True
cygnet,signet,2,True
cymbal,symbol,2,True
cypress,Cyprus,3,True
dam,damn,1,False
days,daze,2,True
deer,dear,1,True
dense,dents,2,False
diffused,defused,2,True
discrete,discreet,2,True
disperse,disburse,2,True
dissent,descent,2,True
do,dew,2,True
doc,dock,1,True
doe,do,1,True
doze,does,2,True
draft,draught,3,True
duct,ducked,3,True
