Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Inherited,Integrable,6,False
Imbowel,Inheriting,9,False
Inexpedience,Intwinement,8,False
Instableness,Insurrection,9,False
Ioqua shell,Indoctrinating,12,False
Impetratory,Internationalize,11,False
Impawning,Impen,5,False
Indifferent,Insurrection,9,False
Impreventability,Irritated,12,False
Inland,Inter,4,False
Involvement,Indiscriminative,11,False
Intemerated,Internuncioship,11,False
Indifferency,Infringing,9,False
Immigrating,Invite,8,False
Icefall,Impetiginous,10,False
Intercommune,Ingenuousness,8,False
Interauricular,Inadequate,10,False
Indrench,Idiom,6,False
Indefinite,Irrorate,7,False
Inconcerning,Imported,9,False
Innovationist,Interrupting,10,False
Incinerated,Islamizing,10,False
Iconoclast,Ichthyopsida,9,False
Ingulfment,Intention,7,False
Interceded,Impossibly,9,False
Irritatory,Inveigh,9,False
Imptrinted,Idiocratic,8,False
Ictic,Inglorious,8,False
Impersuasible,Introduction,10,False
Innateness,Inlagation,7,False
Increst,Incivil,4,False
Incompass,Incommoded,5,False
Ioqua shell,Impertrubable,11,False
Intermutation,Indulgement,10,False
Incorrupted,Inched,6,False
Interleaving,Intervert,6,False
Inquisitiveness,Intercondyloid,13,False
Improvvisatrice,Interserted,12,False
Incoherentific,Irenarch,10,False
Indefatigation,Intuitionalist,9,False
Isabella grape,Insuavity,12,False
Imposthumate,Interviewing,11,False
Irresistance,Infelicities,9,False
Immanity,Inconveniency,9,False
Internodal,Imboss,8,False
Internuncial,Immersion,8,False
Insanely,Incarnation,7,False
Illiteracies,Inferable,7,False
Interrexes,Irishmen,8,False
Immoralities,Impignoration,8,False
Incapacious,Insphering,8,False
Implicate,Incatenation,9,False
Indistinctible,Is-,12,False
Illuminism,Ideation,8,False
Imminution,Indefeasible,10,False
Interatomic,Infertility,6,False
Innutritive,Insafety,8,False
Implemental,Interpreting,10,False
Intentionally,Inexecrable,8,False
Ischiocerite,Inquisitive,8,False
Intermede,Infamously,8,False
Idiotism,Intoxicant,7,False
Inirritative,Imbue,10,False
Inbred,Impenitency,8,False
Inconfusion,Indescriptive,10,False
Incoherent,Iranian,8,False
Identifiable,Internodial,8,False
Infortunate,Interjacent,8,False
Inaugurate,Isodiabatic,8,False
Invariable,Infandous,7,False
Intercentral,Immatchable,10,False
Inconsistently,Incontrollable,8,False
Inexpleably,Incivility,8,False
Inhabitable,Individuality,9,False
Inspissate,Indew,8,False
Impersonality,Incapacitate,11,False
Idly,Inscribe,7,False
Informous,Irrelievable,11,False
Interclusion,Indecorousness,9,False
Inarch,Injector,5,False
Incogitancy,Illimited,8,False
Inky,Immateriate,10,False
Indiscrete,Insurant,6,False
Imparity,Inernarrable,9,False
Interambulacrum,Irresilient,12,False
Ivory-bill,Incandescence,12,False
Inauspicate,Isomer,9,False
Insubordinate,Incorrigibly,9,False
Intercident,Inconceptible,10,False
Irrespirable,Interdashing,10,False
Imparlance,Incoexistence,9,False
Imperscrutable,Institutive,10,False
Isonomic,Inodorous,6,False
Interpretatively,Idocrase,12,False
Inundation,Infuneral,7,False
Inconsiderately,Informal,10,False
Infanthood,Immanacle,7,False
Idioplasm,Institutively,11,False
