Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Judean,Jail,5,False
Jorum,Jostlement,7,False
Junk,Jealousies,8,False
Joule,Jounce,2,False
Juries,Jehovistic,8,False
Jew,Jeerer,4,False
Justinian,Jaculate,8,False
Jamacina,Jugula,6,False
Jangler,Jewelry,5,False
Jonah,Jilted,5,False
Juwansa,Jeterus,6,False
Jackstay,Junco,7,False
Jigging,Jaculating,6,False
Janus,Jigjog,5,False
Juvenile,Jobbed,7,False
Joram,Joyless,5,False
Jacket,Jointweed,7,False
Jessed,Jilted,3,False
Judging,Jupiter,5,False
Javanese,Jew's-ear,7,False
Jejunity,Jasperize,7,False
Jaunt,Jararaca,6,False
Jill-flirt,Jangled,8,False
Jealously,Justicer,8,False
Jury,Journal,4,False
Joyful,Judas-colored,11,False
Jeopardy,Jovialty,5,False
Juncture,Jiggle,6,False
Joltingly,Judaize,7,False
Jarble,Jumblingly,7,False
Jimp,Jovialist,7,False
Joust,Joyed,3,False
Jollification,Jealous,11,False
Junction,Jugulated,7,False
Jaspachate,Jube,8,False
Jotter,Jowler,2,False
Johnsonian,Jaggy,9,False
Jaundice,Jaggery,6,False
Jilt,Jarnut,4,False
Jinrikisha,Joltingly,8,False
Janker,Journalism,8,False
Jobbernowl,Jadish,9,False
Jointed,Jockeyship,8,False
Jigger,Jacobinism,8,False
Jackslave,Jesuitical,9,False
Juxtaposition,Jujube,11,False
Juvenile,Jaguarondi,8,False
Jennet,Judicative,8,False
Jaborandi,Jailer,7,False
Jointless,Jaculating,9,False
Jointer,Juniperite,7,False
Japanned,Justice,6,False
Jejunal,Juliform,7,False
Justness,Jacobean,6,False
Jetton,Javanese,7,False
Journeymen,Jet,8,False
Journeymen,Jamestown weed,11,False
Jamaica,Justificative,9,False
Jewstone,Jeniquen,6,False
Jamaica,Jocoserious,9,False
Jacksnipe,Jeniquen,7,False
Jermoonal,Jumblingly,7,False
Juglans,Jacobinical,9,False
Jerid,Jingo,4,False
Juvenal,Juga,4,False
Jetted,Jute,3,False
Jolly-boat,Journeymen,8,False
Jaundice,Jatrophic,6,False
Justinian,Jut,6,False
Juryman,Jorden,4,False
Jockeyed,Jointuress,7,False
Jointure,Junartie,6,False
Jamaican,Jaconet,6,False
Jadding,Jugement,6,False
Jovinianist,Jellyfish,8,False
Jeronymite,Jacobinized,7,False
Jobation,Jerguer,7,False
Jacobinical,Jargonic,6,False
Jaunt,Jointworm,6,False
Jejune,Jeterus,5,False
Jauntiness,Jager,7,False
Jayhawker,Jennet,7,False
Joseph,Jards,5,False
Jabiru,Juxtapositing,10,False
Jeel,Jawed,3,False
Jehovist,Janitrix,7,False
Jugulum,Jiggish,5,False
Jinrikisha,Jeering,7,False
Jamacina,Jinn,5,False
Judicial,Jolty,7,False
Janker,Jeered,4,False
Jugums,Jokingly,7,False
Jumbler,Jib,5,False
Jetteau,Jabberingly,9,False
Justinian,Jeweler,8,False
Jerfalcon,Jew's-harp,8,False
Jaeger,Joso,5,False
Jabiru,Joysome,6,False
Johnny,Joinery,3,False
Julian,Jerboa,5,False
Judgment,Juice,5,False
Javel,Jinn,4,False
Judging,Janty,6,False
Jument,Joe,4,False
Jorden,Jilted,4,False
Jarrah,Jacobine,6,False
Jabberment,Jalapic,8,False
Jetting,Jealoushood,9,False
Jorum,Jinn,4,False
Junartie,Jenite,4,False
Jarvey,Juba,5,False
Jacana,Jamaica,3,False
Journal,Jeffersonite,9,False
Jacobine,Jigjog,7,False
