Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Kest,Kerana,4,False
Kamala,Kedge,5,False
KNavishness,Keelman,9,False
Klipspringer,Knor,9,False
Knelling,Kerite,5,False
Kickable,Kedger,7,False
Knolling,Kept,7,False
Knaggy,Ket,5,False
Kytoplasma,Karyostenosis,10,False
Knifeboard,Kissingcrust,10,False
Kurdish,Klicket,6,False
Ksar,Kiby,3,False
Knickknackatory,Kissed,13,False
Kithara,Kyrie eleison,11,False
Knacky,Kelt,5,False
Kell,Knitster,7,False
King's Bench,Kitchen middens,11,False
Krupp gun,Knelled,8,False
Kamichi,Kelpie,6,False
Korrigum,Kinic,6,False
Kill,Komenic,6,False
Kerchief,Kickshawses,8,False
Knaveship,Kindless,6,False
Kufic,Keratosa,7,False
Kecksies,Knelled,6,False
Kneel,Kid,4,False
Kickable,Knacky,6,False
Kingling,Kecksies,6,False
Kistvaen,Kid,6,False
Kaloyer,Killikinick,9,False
Kaliform,Kreel,7,False
Knelt,Kyanophyll,7,False
Kennelling,Kill-joy,8,False
Kindergartner,Know-all,10,False
Katastate,Ketine,6,False
Kiteflying,Koran,8,False
Knickknackery,Kecky,9,False
Knarled,Kathetal,6,False
Kranging hook,Knell,11,False
Ken,Kleptomaniac,9,False
Khaliff,Kinglihood,7,False
Kivikivies,Kindred,7,False
Khamsin,Kickshaws,7,False
Kerchieft,Keech,5,False
Kindliness,Knee-deep,7,False
Klick,Knowleching,8,False
Kshatriya,Knobbing,7,False
Kinglihood,Kinging,5,False
Kshatriya,Kabyle,7,False
Klick,Kindliness,7,False
Kingling,Kotowing,4,False
Kyanize,Kalki,5,False
Keelhauling,Knapsack,9,False
Kremlin,Khaya,6,False
Kippered,Knight-errants,10,False
Kukang,Kedging,4,False
Knolled,Keeled,3,False
Kinone,Knitback,6,False
Knitted,Kalender,6,False
Keratonyxis,Kip,9,False
King-post,Keratome,7,False
Kichil,Knight bachelor,10,False
Keckling,Kickable,5,False
Kobalt,Kagu,4,False
Knighted,Kilolitre,7,False
Kinesodic,Killikinick,7,False
Katydid,Kickapoos,8,False
Knitting,Kindness,7,False
Kinkhaust,Knightliness,9,False
Kike,Kers,3,False
Kippering,Knowingly,7,False
Ketol,Krummhorn,7,False
Kukang,Kinic,5,False
Kurd,Koff,3,False
Kneadable,Kinaesthesis,9,False
Koolokamba,Knee-high,9,False
Kerasine,Knocker,7,False
Klamaths,Killigrew,7,False
Kine,Kerf,3,False
Kerana,Keelage,4,False
Know-nothing,Keckle,11,False
Kerver,Kerite,3,False
Knitting,Knavish,5,False
Kinnikinic,Kyanize,7,False
Kidnapped,Keep,7,False
Kelpware,Kerchered,5,False
Karvel,Kilometer,7,False
Karyomiton,Kingliness,9,False
Kerver,Knosp,5,False
Kneck,Kage,4,False
Kit,Kodak,4,False
Kent bugle,Kettledrummer,8,False
Kilderkin,Koala,8,False
Kip,Koolokamba,9,False
Knightless,Knocking,8,False
Kaleidophone,Kieve,9,False
Kavass,Keech,5,False
Knell,Kabala,4,False
Karatas,Kiang,5,False
Knee-crooking,Knives,11,False
Karyoplasma,Kinswomen,10,False
Kembed,Kerchiefs,6,False
KNavishness,Klamaths,7,False
Kanaka,Kibble,5,False
Knee-crooking,Kaka,11,False
Kingstone,Kingliness,5,False
Klinometer,Kairine,7,False
Kittening,Kentucky,7,False
Kabala,Kneeling,6,False
Keyway,Katabolism,9,False
Kilogrammetre,Knifed,11,False
Knight bachelor,Knowingly,12,False
Kemps,Kidnapped,7,False
Kneeling,Kahau,7,False
Krumhorn,Koel,6,False
Kerana,Knapbottle,9,False
Krokidolite,Knitback,9,False
Knaggy,Kino,5,False
Kerchered,Kholsun,8,False
Knee-high,Keitloa,7,False
Knarl,Keltic,5,False
Kish,Kerseynette,9,False
Kage,Kersey,4,False
Keelage,Kotowing,7,False
Knicker,Kutch,5,False
Kingtruss,Knickerbockers,10,False
Koklass,Kiln-dry,7,False
Keelivine,Kabala,8,False
Kaliform,Krang,7,False
Knee-crooking,Kitcat,11,False
Kind,Killigrew,7,False
Kioways,Keramographic,10,False
Kill,Kerneling,7,False
Kedge,Koala,4,False
Kaleidophon,Kalmuck,8,False
Koolokamba,Kalki,7,False
Kenneled,Keyboard,5,False
Kafir,Karaism,4,False
Kissed,Killikinick,9,False
Krokidolite,Koolokamba,9,False
Knarry,Knowleche,7,False
Kitchenmaid,Kersey,9,False
Kiabooca wood,Kerchiefed,10,False
Knarled,Kreng,5,False
Kittle,Kampylite,6,False
Kier,Knaveries,6,False
Kino,Kinglet,4,False
Kousso,Kiss,3,True
Knopped,Kemelin,6,False
Koba,Kibed,3,False
Kitchen-ry,Kumiss,9,False
Kobalt,Kytomiton,7,False
Kalpa,Kimry,4,False
Kernelly,Kibble,6,False
Knight-errant,Kingly,11,False
Kathetal,Keratitis,6,False
Knabble,Kaleidoscope,10,False
Kittlish,Kami,6,False
Kholah,Kettledrum,8,False
Knighthead,Kittiwake,7,False
Kinate,Kittiwake,5,False
Karroos,Kyanized,6,False
Kahani,Kshatriya,5,False
Knagged,Kingfisher,7,False
Kalong,Knife,5,False
Kingston metal,Karatas,11,False
Kers,Khaliff,6,False
Khan,Kaique,5,False
Knotwort,Klinometer,7,False
Kneadingly,Kabook,8,False
Kerneled,Kesar,6,False
Keynote,Kidnapped,6,False
Knightage,Kayaker,7,False
Kitchen-ry,Kumquat,9,False
Knur,Khanate,5,False
Kneecap,Kuskus,6,False
Kistvaen,Kryolite,7,False
Karstenite,Key-cold,9,False
Kamtschadales,Kale,9,False
kin,Kidney-form,9,False
Kaleidophon,Kilting,8,False
Kingdom,Kneejoint,7,False
Kaynard,Kail,5,False
Kingcraft,Kaffir,7,False
Kerf,Kentledge,7,False
Kydde,Kieserite,7,False
Knew,Klipdas,6,False
Knife,Knighthead,6,False
Kettledrummer,Kookoom,11,False
Knife,Knitchet,4,False
Kedge,Kudos,3,False
Kalendar,Knurl,6,False
Kirumbo,Koulan,5,False
Keratitis,Kob,8,False
Kirkman,Kind-hearted,9,False
Knittle,Keenly,5,False
Knights Templars,Knobby,14,False
Karreo,Kitchen middens,13,False
Kabala,Knock,5,False
Kirkyard,Kowtow,7,False
Knight service,Kinkhaust,11,False
Kinate,Knolled,5,False
Kibitkas,Kneeler,7,False
Knaveship,Kist,7,False
Karatas,Kranging hook,11,False
Knee-high,Kabob,8,False
Kink,Kainozoic,6,False
Kneadingly,Kichil,7,False
Kitling,Knowleche,7,False
Kinky,Kail,4,False
Kami,Kerite,4,False
Kelotomy,Kleeneboc,7,False
Kutauss,Kingbird,7,False
Kabook,Kail,4,False
Kneepiece,Kickshaw,8,False
Kecksies,Knapbottle,9,False
Kelpfish,Keved,6,False
Kie,Kidnaping,7,False
Kapia,Ketine,4,False
Krooman,Keep,6,False
Kholah,Kilogrammeter,10,False
Keratosa,Kat,5,False
Knight-er-ratic,Kendal,12,False
Keyway,Kodak,4,False
Khaya,Kairine,6,False
Kansas,Kusimanse,6,False
Kumquat,Klinkstone,8,False
Kitchenmaid,Kittening,6,False
Kinesiatrics,Killesse,9,False
Kinology,Kalasie,7,False
Kerseymere,Kynrede,7,False
Khanate,Kiddle,5,False
Khamsin,Kate,5,False
Kookoom,Knor,5,False
Keelhaul,Kalan,5,False
Keyway,Kaguan,4,False
Kam,Kerish,5,False
Kabala,Knolling,6,False
Kreatinin,Kafir,6,False
Kidling,Kedge,5,False
Kagu,Krishna,6,False
Keck,Ksar,3,False
Kyanized,Kanchil,5,False
Kail,Knaggy,4,False
Krameric,Keep,6,False
Kneelingly,Keeper,7,False
Kennel,Kindle,4,False
Keever,Kinesodic,7,False
Kindled,Kit,5,False
Kephalin,Kept,5,False
Kupfernickel,Kecking,9,False
Key tone,Keloid,5,False
Kris,Kything,5,False
Kelpies,Knotgrass,7,False
Kinswoman,Kerargyrite,10,False
Kittle,Killed,3,False
Kerana,Kummel,5,False
Know,Knowingly,5,False
Kill-joy,Kyanize,7,False
Knobbing,Kahau,7,False
Kissingcrust,Knock,9,False
Kabyle,Knackish,6,False
Kirkmen,Kavass,6,False
Know,Kill,3,False
Kaleidoscopic,Kibitka,11,False
Knaveries,Kat,7,False
Kidded,Kitish,4,False
Knoller,Keuper,4,False
Kindless,Kiln-dry,6,False
Knock-knee,Knowledge,6,False
Kerning,Kafir,5,False
Kaftan,Karyostenosis,9,False
Keg,Knight,4,False
Kicred,Kinding,5,False
Kercher,Keenness,5,False
Kroomen,Keved,5,False
Knobbling fire,Kokama,12,False
Kingston metal,Kainit,11,False
Kyloes,Kyrie eleison,9,False
Kain,Kieve,4,False
Kickable,Kurdish,7,False
Kraken,Kidding,5,False
Kakaralli,Kingstone,8,False
Kerseymere,Kymry,6,False
Kafir,Kohl,4,False
Kedlook,Kakapo,5,False
Knives,Kale,4,False
Knightless,Knockings,7,False
Knapping,Kreatinin,6,False
Keeving,Kingtruss,8,False
Kickup,Kholsun,5,False
Keener,Kusimanse,7,False
Kairine,Kerb,5,False
Kinematics,Kyd,9,False
Knocked,Karpholite,8,False
Karyokinetic,Knelt,9,False
Kemp,Kenned,4,False
Kittysol,Keyway,6,False
Knitster,Keratophyte,8,False
Kevin,Katabolic,7,False
Kabassou,Knowleching,10,False
Kerchieft,Kabyle,7,False
Kraal,Kamsin,5,False
Keratode,Klipdas,7,False
Kickshaws,Kleptomania,9,False
Kentucky,Kotow,6,False
Koodoo,Kaleidoscope,8,False
Kittening,Kythe,6,False
Keld,Knickerbockers,12,False
Keeping,Kapia,4,False
Kotowed,Kernelling,9,False
Katabolism,Kilostere,9,False
Kinetogenesis,Kemp,11,False
Kithara,Kiabooca wood,10,False
Kinology,Kibble,5,False
Koolslaa,Knuckle,6,False
Kail,Killikinick,9,False
Knobber,Kate,5,False
Knight bachelor,Komtok,12,False
Knobbler,Keratophyte,9,False
Kinship,Kriegsspiel,7,False
Kanttry,Kidde,6,False
Klicket,Karatas,6,False
Kilt,Keyseat,5,False
Kibitkas,Koran,6,False
Kisser,Knag,5,False
Kohinoor,Kidneywort,7,False
Kaolinize,Kieserite,6,False
Kneeler,Kaw,6,False
Kingdom,Kedger,5,False
Kava,Kembed,5,False
Ket,Konze,4,False
Kerseys,Known,6,False
Kidnapped,Kirschwasser,8,False
Knuckled,Kidling,7,False
Klopemania,Kaleidophone,9,False
Knob,Kick,3,False
Kitchenmaid,Kilted,7,False
Kingston valve,Kickshaw,10,False
Kist,Kain,3,False
Kyke,Kidfox,5,False
Kex,Keesh,3,False
Knightage,Kneelingly,7,False
Kingbolt,Knight,5,False
Keffe-kil,Keverchief,7,False
Kythed,Kneeling,7,False
Koff,Kreosote,6,False
Keelhaul,Knelt,5,False
Kalsomine,Knobbing,6,False
Kindly,Knobbling fire,11,False
Kneck,Kiln,4,False
Kicred,Kything,6,False
Kendal,Knockings,8,False
Knacky,Kneepan,5,False
Knight-errants,Kinglihood,12,False
Kitten,Kob,5,False
Kyrie,Keever,4,False
Kudos,Kobold,4,False
Keesh,kin,5,False
Kinetic,Kermesse,6,False
Kapellmeister,Know-nothing,12,False
Kalpa,Kicking,6,False
Knights bannerets,Kittenish,13,False
Kiddow,Kinetogenesis,10,False
Kiddy,Kite,3,True
Knacker,Klipdachs,7,False
Kleptomaniac,Keelman,7,False
Keying,King,2,True
Knights bannerets,Kenogenetic,13,False
Kickshoe,Knotweed,7,False
Kilometre,Kyanized,8,False
Kilo,Kerf,3,False
Kyd,Knavery,6,False
Kidnapper,Kid,6,False
Kingston metal,Kerse,11,False
Kirkyard,Kin,6,False
Kinglet,Keratosa,7,False
Keen,Klinometer,7,False
Kibe,Kraken,4,False
Kainite,Kudos,6,False
Kinsfolk,Kie,6,False
Konze,Keratin,6,False
Kyriolexy,Knife-edge,8,False
Kemelin,Kantianism,8,False
Kimmerian,Kinglihood,8,False
Knob,Kriegsspiel,10,False
Knight service,Karyoplasma,13,False
Kichil,Kinetic,4,False
Kive,Knabbing,6,False
K,Kaleidoscopic,12,False
Klipdas,Knolled,6,False
Kindle,Kaama,5,False
Krishna,Kraal,5,False
Kerseynette,Killdeer,9,False
Kokoon,Knacker,6,False
Kempe,Keelhaul,6,False
Kiby,Knap,3,False
Kadi,Ketone,5,False
Kupfernickel,Kage,10,False
Knightage,Killdee,6,False
Kneejointed,Knoppern,8,False
Knappish,Killer,7,False
Kneadingly,Keelson,7,False
Katabolism,Kalpa,7,False
Kittlish,Kissing,5,False
Kaolin,Kept,5,False
Knives,Kavasses,5,False
Kymric,Kerish,4,False
Kerite,Knights bachelors,14,False
Knobbed,Kantianism,8,False
Koran,Kismet,5,False
Kinesitherapy,Knaw,10,False
Kingston,Klamaths,6,False
Knurl,Killigrew,7,False
Kissingcrust,Kinic,8,False
Kerasine,Kirmess,6,False
Kerargyrite,Kittysol,9,False
Kipskin,Kinnikinic,5,False
Kip,Keepsake,6,False
Khenna,Kything,5,False
Kulan,Kilting,4,False
Keckling,Keever,6,False
Kittle,Kerneled,5,False
Kaleidophone,Kidnapping,8,False
Knelt,Kukang,5,False
Kyrielle,Kowtow,7,False
Killdee,Kon,6,False
Keckled,Kate,5,False
Kidneywort,Kissed,7,False
Kismet,Kernelly,6,False
Krooman,Kingbolt,7,False
Keratophyte,Kairoline,8,False
Kiby,Kinsmanship,9,False
Kiang,Keel,4,False
Kadder,Karyostenosis,10,False
Kernelly,Kame,6,False
Kitte,Knotty,3,False
