Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Lamenter,Lecherous,7,False
Leviration,Lumine,8,False
Lineary,Lifeboat,5,False
Lossless,Litigant,7,False
Lavation,Leaded,6,False
Lithosian,Laborious,7,False
Limited,Larcenies,7,False
Limpin,Leeringly,6,False
Laziness,Litter,6,False
Limuloidea,Levying,8,False
Lustic,Lineary,6,False
Lantern,Lactory,3,False
Laryngotomy,Lurchline,9,False
Locative,Lead,6,False
Leaves,Laccic,5,False
Libeled,Loy,6,False
Lintwhite,Lunatic,6,False
Lacerable,Lucre,5,False
Lithologist,Lobby,9,False
Lepisma,Lion's tail,8,False
Lexiconist,Leat,7,False
Loki,Latently,7,False
Leaf,Limpet,5,False
Louk,Lazed,4,False
Lunated,Lore,5,False
Leyden phial,Lunule,10,False
Lovyer,Lounge,4,False
Lecanomancy,Labia,8,False
Lancer,Leucinic,6,False
Lamella,Lotting,6,False
Logothete,Lobworm,7,False
Lamenter,Leaveless,6,False
Lacquered,Lashed,5,False
Literati,Lisne,6,False
Lithophyte,Levigable,8,False
Laddie,Lipothymic,8,False
Lacklustre,Lachrymary,6,False
Laserwort,Loosed,7,False
Loculament,Lienculi,8,False
Liverymen,Linkage,6,False
Linden,Lamboys,6,False
Loche,Laticostate,8,False
Lignified,Looking,7,False
Labialism,Lancegaye,7,False
Lamm,Lacerated,7,False
Lemuroidea,Leme,6,False
Lorcha,Lamellirostral,11,False
Lot,Leucitoid,7,False
Limping,League,6,False
Leucic,Ladies' eardrops,14,False
Lit,Ligamentous,8,False
Lavolt,Libretto,6,False
Lucern,Lates,4,False
Locked,Lactodensimeter,12,False
Lousy,Leaked,5,False
Lirella,Linguatulina,8,False
Limuloidea,Landslip,8,False
Lose,Locao,3,False
Leasing,Landslide,6,False
Lepal,Lobbish,6,False
Lothsome,Light-headed,8,False
Leisured,Lithophosphor,11,False
Lorikeet,Ladrone,6,False
Lachrymiform,Leatheret,10,False
Lambative,Lymphadenoma,9,False
Lacert,Logarithmic,8,False
Leaving,Lyam,5,False
Laxly,Laurentian,8,False
Leatherback,Laste,8,False
Lobe-footed,Ling-bird,8,False
Ledden,Lechering,5,False
Lakeweed,Lernaeacea,7,False
Lickpenny,Lyrism,8,False
Lettered,Lacklustre,8,False
Limitable,Legislatress,8,False
Lady's hair,Long-sufferance,12,False
Lere,Leptostraca,8,False
Linguatulida,Loath,9,False
Lutenist,Laughworthy,8,False
Looted,Lentiginous,9,False
Lemnisci,Liquefier,8,False
Levitically,Loriner,9,False
Lopeman,Lienal,4,False
Liquorice,Linarite,4,False
Lacertus,Lepidopter,8,False
Learner,Lorel,4,False
Locustella,Lapful,8,False
Limitless,Liberalistic,8,False
Localizing,Leucic,8,False
Lobeliaceous,Loricating,9,False
Lophobranch,Loosed,8,False
Literature,Lion's tail,8,False
Larves,Lift,5,False
Leverwood,Lancewood,4,False
Ladylike,Loveliness,6,False
Loaned,Lady's bedstraw,12,False
Ligulate,Lowness,7,False
Lepidopterous,Lamellibranchia,13,False
Lunary,Liripoop,7,False
Legitimate,Lactic,7,False
Lamellibranch,Lubrifaction,12,False
Lisle,Lewdster,5,False
Lullingly,Loose,8,False
Lapis,Lustrated,7,False
Lunatic,Lapillation,7,False
Landsturm,Lockout,7,False
Lapling,Lithotypic,9,False
Limed,Leadmen,4,False
Leasy,Larvae,5,False
Lithochromics,Limpingly,11,False
Lustiness,Lunacies,5,False
Lisped,Locusting,7,False
Lenten,Lave,4,False
Librae,Levelled,6,False
Leucophlegmacy,Left-handedness,12,False
Lunacy,Lieder,5,False
Lancing,Librarianship,10,False
lullaby,Lector,7,False
Legge,Lutulent,6,False
Licensing,Laryngotracheal,13,False
Lozenge-shaped,Lambskinnet,12,False
Ladylove,Lariat,6,False
Lamina,Lycanthropia,9,False
Lalo,Leavened,6,False
Loft,Locality,5,False
Lithotyped,Limpness,8,False
Languisher,Libelous,9,False
Lyonnaise,Leadsmen,7,False
Landslip,Laniate,5,False
Lamasery,Lapling,6,False
Lackey,Lichenous,6,False
Logics,Lernean,6,False
Lodgeable,Lactarene,7,False
Lambdoid,Loftiness,8,False
Litui,Livinian,5,False
Lenocinant,Lawsuit,7,False
Limosis,Lithotripsy,6,False
Leonese,Lenitude,5,False
Lady's bower,Laccin,10,False
-ly,Leese,5,False
Logistics,Lea,8,False
Legitimacy,Language,8,False
Livinian,Loculate,7,False
Lepidoptera,Lively,8,False
Longitudinally,Lycopod,12,False
Lather,Lipothymy,6,False
Latifoliate,Lubricant,9,False
Lactide,Loup-loup,8,False
Lib,Legalism,6,False
Lyra,Lactarene,7,False
Limitive,Laboredly,8,False
Lithography,Lignoceric,8,False
Lackadaisy,Loral,8,False
Ligan,Lighting,4,False
Laterad,Lathreeve,5,False
Limitation,Letheonize,8,False
Liberalism,Linnean,7,False
Laquear,Lamellibranchiate,14,False
Lipans,Lamaic,4,False
Lichwale,Lawsonia,7,False
Luteo-,Lusitanian,7,False
Libidinist,Lilt,7,False
Luff,Long-sight,9,False
Lubricator,Ladleful,9,False
Lycopod,Lowborn,6,False
Lavolt,Lacerate,5,False
Latter,Lard,4,False
Leptorhine,Litherly,8,False
Lady-killer,Liquidized,8,False
Livering,Lid,6,False
Ladinos,Lacunas,3,False
Loadstone,Larcenist,8,False
Lardry,Literary,4,False
Landless,Legislate,7,False
Latirostral,Liableness,10,False
Laniariform,Laming,8,False
Lactation,Lactate,3,False
Legionaries,Legal,7,False
Lock,Lutenist,7,False
Logicalness,Lunicurrent,7,False
Liedertafel,Lammed,9,False
Liparite,Liveliness,6,False
Lobbies,Loadstone,7,False
Logge,Lichwale,6,False
Labialism,Lapsing,6,False
Labellums,Loment,7,False
Leptothrix,Lengthy,6,False
Lithoidal,Lithy,5,False
Lance fish,Lovee,8,False
Limekiln,Lamming,5,False
Letterpress,Lispingly,10,False
Lithoxyl,Lakin,7,False
Llama,Lure,4,False
Leafless,Lens,5,False
Lily-handed,Logogram,9,False
Latirostral,Logistical,6,False
Lanthanite,Lifeful,9,False
Limu,Loutish,5,False
Landscapist,Liable,9,False
Loud-voiced,Lepidodendrid,10,False
Lamaic,Lardoon,5,False
Little,Localization,9,False
Letts,Legature,5,False
Loment,Loculous,6,False
Lifesome,Lettrure,6,False
Levite,Lettish,4,False
Liriodendra,Lobbyist,9,False
Lupinin,Lust,5,False
Laevigate,Life-giving,8,False
Lupus,Lenses,4,False
Latirostrous,Legging,11,False
Lacerated,Limulus,8,False
Ladykin,Laurate,5,False
Life,Libertinism,8,False
Larder,Left-handed,7,False
Lean,Lovage,4,False
Limbmeal,Lyencephalous,9,False
Lametta,Loathy,5,False
Lifted,Lunatic,5,False
Labyrinthodont,Levigated,11,False
Lithographical,Labiated,12,False
Leapt,Lego-literary,10,False
Lording,Lagophthalmos,11,False
Latinized,Lordship,8,False
Lingo,Lowery,5,False
Laelaps,Loitering,7,False
Librate,Logistics,7,False
Legumen,Lowlander,7,False
Leche,Locust,4,False
Lant,Locky,4,False
Lite,Loser,3,False
Laborer,Lamblike,5,False
Loup-cervier,Logroll,9,False
Loanmonger,Lustre,8,False
Lemniscata,Lapidific,8,False
Lotos,Lacklustre,8,False
Ledgy,Liriodendra,8,False
lucernarida,Lexigraphy,10,False
Livery,Lipogrammatist,11,False
Largition,Linger,7,False
Lepid,Lampad,3,False
Lyre,Lioncel,5,False
Lauraceous,Laniate,6,False
Loathing,Liquidamber,10,False
Liberalism,Loaves,7,False
Lexicology,Liming,7,False
lectern,Lepidopterous,9,False
Long-sighted,Letterpress,11,False
Liberate,Liqueur,6,False
Link motion,Liripipe,8,False
Lectica,Lace-bark,6,False
Loafed,Lenticulae,9,False
Landaulet,Libral,6,False
Lark,Lask,1,False
Lary,Lavour,4,False
Laches,Lassoing,6,False
Lamelliferous,-less,10,False
Longwise,Luciform,7,False
Luteous,Lathereeve,7,False
Laminitis,Limed,7,False
Laryngotracheal,Limp,14,False
Large-hearted,Liberalistic,10,False
Landlocked,Leashing,9,False
Locao,Ladanum,5,False
Lollop,Limewater,8,False
Lobulate,Lobately,4,False
Loanin,Leiotrichan,7,False
Levity,Laquear,6,False
Locken,Lime twig,8,False
Let-alone,Licorous,7,False
Longlegs,Lexicographic,11,False
Lusern,Laughingly,7,False
Loup,Lamination,9,False
Lush,Localize,7,False
Lathed,Ligge,4,False
Lunacy,Lordlike,7,False
Limitary,Larcenist,8,False
Leed,Lacunose,7,False
Lithophagous,League,8,False
Lonis quatorze,Loosener,10,False
Liquefacient,Linear,8,False
Luxuriancy,Lexiconist,8,False
Libelluloid,Laudative,10,False
Lithaemia,Luxuries,8,False
Laccolith,Lepidopterist,10,False
Loups,Leprosy,5,False
Leathering,Luteocobaltic,11,False
Liquidator,Labially,7,False
Luncheon,Lignified,7,False
Lagenas,Lectual,5,False
Lechery,Liegiancy,6,False
Lignification,Legato,8,False
Laborless,Ligeance,8,False
Langaha,Lolling,6,False
Latibula,Looby,6,False
Lengthiness,Let-up,8,False
Lantern,Lactoprotein,7,False
Lightful,Laughed,6,False
Lake-dweller,Landed,8,False
Lop,-lith,5,False
Likerous,Limiting,6,False
Leafing,Light-minded,9,False
LaconIcism,Lierne rib,8,False
Lurid,Lena,4,False
Laevo-,Laterite,5,False
Lengthiness,Lipothymous,7,False
Librarianship,Loyally,11,False
Lunule,Licorous,7,False
Latticework,Ligroin,8,False
Lamb's-quarters,Laund,12,False
Lancewood,Landladies,7,False
Leten,Laugher,5,False
Lissencephala,Librate,10,False
Lemur,Liripipe,7,False
Littered,Ladanum,7,False
Llama,Latibulizing,10,False
Lacemen,Lincoln green,9,False
Ligneous,Lunch,6,False
Laemodipod,Lochaber axe,11,False
Labialization,Lagenian,8,False
Longirostres,Laniate,7,False
Longevous,Low-mindedness,9,False
Lindia,Levite,5,False
Licorice,Lombardic,6,False
Lapstreak,Lamish,7,False
Lovery,Leave-taking,9,False
Lichenology,Laughterless,9,False
Leered,Linseed,4,False
Leatherette,Longbeak,9,False
Locket,Laceman,5,False
Leyden phial,Loafed,10,False
Lackluster,Ladylove,6,False
Lionize,Loquaciousness,10,False
Larghetto,Labrose,6,False
Lossful,Luscious,5,False
Legislative,Lavement,9,False
Loosen,Largish,6,False
Loricate,Leader,6,False
