Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Mazeful,Mullingong,9,False
Myogram,Murtherer,7,False
Macedonianism,Matureness,9,False
Metastannate,Mohock,11,False
Muscardin,Mangan,6,False
Mellow,Molesting,7,False
Metamorphoses,Moonblink,11,False
Marmoreal,Murine,6,False
Mesoarium,Merchand,7,False
Martin,Miaul,5,False
Molosse,Mimesis,5,False
Millenarism,Murices,9,False
Modernist,Marinorama,9,False
Mavis,Merithallus,8,False
Mammonize,Materialism,8,False
Monomya,Millionaire,8,False
Multisyllable,Mimesis,11,False
Metayage,Myoepithelial,10,False
Mourner,Memnon,5,False
Melicotoon,Memorializing,9,False
Miargyrite,Misassay,8,False
Mulberries,Morus,7,False
Meritory,Musquet,7,False
Moot-hill,Mad-apple,7,False
Montiform,Minny,7,False
Moonraker,Mousie,6,False
Mendregal,Moellon,8,False
Matriarchal,Mediostapedial,10,False
Mungo,Mediating,7,False
Maim,Metagenetic,8,False
Mesaticephalic,Myopathic,9,False
Mesosauria,Myeloid,7,False
Myochrome,Monadelphous,10,False
Marshalship,Midding,10,False
Mismark,Manhood,6,False
Maccoboy,Maranatha,7,False
Moodir,Manilla,6,False
Morice,Mechanicalness,10,False
Multicostate,Mary,10,False
Mezzo-soprano,Melain,10,False
Mistelling,Muckiness,9,False
Monecious,Millionth,7,False
Mistransport,Mephitis,10,False
Medalist,Matriculated,10,False
Misken,Mademoiselle,9,False
Miscomfort,Metabolism,9,False
Monkeries,Metapodialia,10,False
Magistrally,Monotony,8,False
Mestizos,Murrey,7,False
Mesophl/um,Moralized,8,False
Meniscus,Matrimonial,9,False
Mesel,Masticater,7,False
Miniard,Methaemoglobin,12,False
Monal,Metacetone,8,False
Monothalama,Manichaeism,7,False
Metritis,Miasmology,9,False
Making-iron,Mollah,10,False
Militar,Mustaches,7,False
Monomachia,Merriment,9,False
Molluscan,Mingle,8,False
Misjudge,-mere,7,False
Macilent,Marrowfat,6,False
Maledicent,Monotonist,8,False
Mutinous,Muck,6,False
Moltable,Milvus,6,False
Manipulated,Multiplicate,7,False
Manometer,Meddler,6,False
Mealtime,Marshaling,7,False
Maule,Merchantry,8,False
Misdo,Makebate,7,False
Muddler,Misgrowth,8,False
Metaxylene,Miseries,8,False
Mammose,Mantel,5,False
Ministering,Manganiferous,9,False
Misrate,Melilite,5,False
Molly,Maurist,6,False
Monishment,Mutinying,7,False
Millstone,Macrura,8,False
Marquee,Melodrame,7,False
Mediaevalist,Misdid,9,False
Mahwa tree,Macrodactylic,9,False
Monteth,Monophthong,6,False
Mottled,Molybdenite,8,False
Maneuver,Marmalade,7,False
Merchandiser,Modulate,9,False
Metallurgy,Myrobolan,9,False
Misraise,Meroblast,7,False
Microtasimeter,Monkhood,12,False
Mollusca,Mich,6,False
Mezzotintoed,Malvesie,9,False
Mesotrochal,Myriad,8,False
Multilineal,Mutch,8,False
Marlpit,Metallographic,9,False
Mira,Mutable,5,False
Melrose,Menopoma,5,False
Metaphosphoric,Meshed,10,False
Misguidance,Monogamous,10,False
Metaphosphoric,Menorrhagia,9,False
Mildewing,Morsitation,9,False
Marmozet,Modii,6,False
Maggiore,Marceline,6,False
Membranous,Maenad,8,False
Mayor,Monal,4,False
Majestical,Moodir,8,False
Manteaus,Microtome,8,False
Maxilliped,Mastodontic,9,False
Microampere,Matfelon,9,False
Meow,Magnetician,9,False
Meine,Medicinal,5,False
Manipular,Monotheism,8,False
Misguiding,Marque,8,False
Microscopically,Metallochrome,13,False
Myographical,Maistrie,10,False
Monifier,Masque,6,False
Mediating,Marmorate,8,False
Misbelief,Mussulmans,7,False
Mortgageor,Munga,7,False
Misformation,Monotonic,9,False
Manful,Mace,4,False
Merinos,Monitive,6,False
Misthrow,Mediately,7,False
Metrology,Monadelphous,9,False
Misken,Microbian,6,False
Mouthed,Mammals,6,False
Mososaurus,Misfare,6,False
Miasmatical,Myope,10,False
Mechanico-chemical,Misformation,15,False
Mete,Mountebank,7,False
Meropodite,Masterwort,8,False
Megaphone,Monachism,6,False
Merrymaking,Mouline,8,False
Mention,Malevolous,7,False
Malayalam,Magnificently,11,False
Mishcup,Malobservation,12,False
Moralist,Media,6,False
Manager,Microtome,8,False
Moonflower,Mount,7,False
Moderate,Marginate,5,False
Mitosis,Mercaptide,8,False
Mesopterygium,Multiradiate,10,False
Morate,Matcher,5,False
Muffetee,Meute,5,False
Metapodium,Mazology,7,False
Monocrotism,Meteyard,10,False
Muse,Monopoler,7,False
Mesosauria,Megalo-,7,False
Mithridatic,Metagraphic,7,False
Misincline,Mutterer,9,False
Malapropos,Moneth,9,False
Maligner,Microlithic,8,False
Multititular,Mineralize,10,False
Menstruum,Manipulate,8,False
Misobserver,Methodic,10,False
Mathematics,Morel,9,False
Medicamental,Mispronunciation,13,False
Monte-acid,Megachile,7,False
Mince-meat,Miscellanies,8,False
Marsupion,Mortgagor,6,False
Maculature,Mollipilose,9,False
Monodic,Masterwort,9,False
Mathusian,Monorhyme,8,False
Murdering,Misbehave,7,False
Miff,Musrol,5,False
Macropterous,Monosepalous,8,False
Mucronated,Median,8,False
Manacled,Maneuverer,6,False
Moistness,Monkey-bread,9,False
Magnified,Myologic,7,False
Marker,Manganous,7,False
Masseterine,Missound,7,False
Muckmidden,Murr,8,False
Mad-apple,Misimprovement,11,False
Macroscopical,Morphinism,10,False
Masseteric,Masterhood,6,False
Metopic,Meadow,5,False
Memorize,Measure,5,False
Majolica,Mooncalf,6,False
Mezzo-soprano,Monopneumona,10,False
Monoecia,Muhammadanism,11,False
Mezzo,Metallize,6,False
Ministral,Minister,3,False
Mahogany,Maltreat,6,False
Meazel,Morbose,6,False
Moonseed,Miscovet,6,False
Mastich,Madreporic,7,False
