Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Natatorial,Nativist,6,False
Ny,Neighed,6,False
Neighborly,Northwardly,6,False
Nale,Nitrify,6,False
Nipple,Nonprossed,7,False
NassAe,Nonsurety,6,False
Nasally,Nose,5,False
Nunciate,Nightman,7,False
Neglectful,Nuddle,8,False
Nonextensile,Nullities,9,False
Neonism,Noious,5,False
Nephridium,Numbering,8,False
Neo-Christianity,Notal,12,False
Nonsolution,Narrowed,9,False
Nimbly,Notorhizal,8,False
Noncohesion,Natantly,10,False
Needment,Nightish,7,False
Neptunicentric,Nisan,11,False
Nustle,Nandine,5,False
Nidulation,Nototherium,9,False
Nationalized,Nonresistance,11,False
Negativity,Nitrose,8,False
Noli-me-tangere,Necrologic,13,False
Necrosed,Natal plum,9,False
Narcosis,Nucleolated,9,False
Neropteral,N,9,False
Nitraniline,Nurling,6,False
Ney,Nausea,4,False
Nightgown,Nidificated,9,False
Nonexecution,Nidificate,9,False
Nimble,Needle,3,False
Nitroform,Noticed,7,False
Necessity,Naphthalize,9,False
Neuropterous,Noiance,10,False
Naperian,Nale,5,False
Nocake,Nuclei,4,False
Nom,Newsman,5,False
Notability,Narcotized,9,False
Nup,Nematocalyces,12,False
Noway,Non compos,8,False
Nitrogenize,Nisi,8,False
Nagged,Nihilist,7,False
Naze,Nomenclature,9,False
Nondecane,Nineteen,6,False
Nestling,Nettled,4,False
Nectareal,Nexus,7,False
necklet,Noncondensible,11,False
Necessariness,Nabob,11,False
Noy,Necessitating,12,False
Nathmore,Nephritis,7,False
Nylgau,necklaced,8,False
Nominator,Notopodiums,9,False
Nempt,Notifying,8,False
Netting,Naeve,6,False
Nestorian,Neighborship,8,False
Nestle,News-vnder,6,False
Nominalistic,Needlecase,10,False
News-writer,Nortelry,8,False
Nucelli,Naphthalenic,9,False
Nematoidea,Nestled,6,False
Nonexistent,Nematognath,9,False
Nursery,Neptunicentric,10,False
Nonslaveholding,Nasturtium,12,False
Ninut,Nonrecurrent,8,False
Nonclaim,Neurocity,7,False
Nectarine,Nylghau,8,False
Next,Nasalizing,9,False
Nightish,Nitrogenous,8,False
Nankeen,Neutralizing,9,False
Night,Neoteric,7,False
Namation,Narcosis,6,False
Narcotizing,Nom,9,False
Nightmare,Night-eyed,4,False
Nerve-shaken,Nondelivery,10,False
Noseless,Necessitous,8,False
Nunchion,Neighing,5,False
Neurocord,Nestling,7,False
Non pros.,Nominalize,8,False
Nulled,Nominally,7,False
Neotropical,Nouriture,8,False
Nucament,Nihilistic,8,False
Nonvernacular,Nayt,11,False
Nailery,Nystagmus,8,False
Needlecase,Nota,8,False
Natty,Nitrobenzole,10,False
Nostoc,Nudging,6,False
Nosology,Narwe,7,False
Nebular,Nestor,4,False
Noduled,Nigua,5,False
Narrower,Nidificate,9,False
Nonmanufacturing,Napkin,12,False
Noctograph,Nosing,7,False
Norther,Nasally,6,False
Nonarrival,Nuzzied,8,False
Neighbor,Nutritive,8,False
Nimbose,Night-eyed,7,False
Niding,Natka,5,False
Norm,Numberer,6,False
Nisi,Northwest,7,False
Nacarat,Neuropodous,10,False
Nephridium,Nativeness,9,False
Nidering,Noctambulism,10,False
Nine-bark,Normalcy,8,False
Nemoral,Noologist,7,False
Neocracy,Nude,7,False
Nummary,Neutralization,11,False
Nonresistant,Naso-,10,False
Nucamentaceous,Noint,11,False
Neoplastic,Nonentities,8,False
Noonday,Neurotomist,8,False
Neutralizer,Naivete,8,False
Nodosity,Nutation,6,False
Nonsuited,Nonsuited,0,True
Necessities,Nonsolvent,9,False
Natatory,Narration,5,False
Nationality,Notaries,7,False
Nullibiety,Nazaritism,8,False
Nome,Neuropod,6,False
Norweyan,Naseberry,7,False
Nosethirl,Nigromancien,9,False
Neoterically,Nigrosine,10,False
Nonacquaintance,Nurl,13,False
Nepotal,Naphtha,4,False
Nares,Nome,3,False
Nihil,Northernmost,10,False
Nepotism,Nicotinic,5,False
Navy,Newfangly,6,False
Naevose,Nonone,4,False
Nonsubmission,Nonjuring,8,False
News-vnder,Natica,9,False
Ne'er,Nobleness,6,False
Nephelite,Nectareal,7,False
Nodder,Nettles,5,False
Nigh,Notionist,7,False
Nematoblast,Ne,9,False
Nutpecker,Nugatory,7,False
Noncondensible,Naphthalize,11,False
Nay,Neurotomist,10,False
Neighed,Noctivagation,10,False
Neglected,Neishout,7,False
Nereids,Ness,4,False
Noctule,Nowthe,3,False
Novelism,Nomology,5,False
Nailless,Nombril,7,False
Nonproficiency,Newcomer,11,False
Nitrobenzol,Nailer,9,False
Neckwear,Nympholepsy,9,False
Neurotomist,Natrolite,7,False
Natrium,Nebbed,6,False
Nickar tree,Ngina,9,False
Novitious,Narcotized,7,False
Nigritude,nephrolithic,9,False
Nun,Needlefish,9,False
Nine-eyes,Neurospast,8,False
Needlework,Nostalgia,9,False
Nonconduction,Nice,11,False
Ny,Naive,4,False
Nombril,Na,6,False
Nudibranchiata,Nasally,12,False
Neural,Noiance,6,False
Nitraniline,Nineteen,8,False
Neoteric,Nervation,6,False
Nearing,Neonomianism,8,False
Neuropodium,Nautical,9,False
Notification,Nymphaea,10,False
Nappy,Neighing,7,False
Nicotidine,Niched,6,False
Nexus,Nibbing,6,False
Nipper,Neomorph,6,False
Nucha,Nest,4,False
Nucleate,Nonlimitation,9,False
Newsmonger,Neuropodous,8,False
Notorious,Nonda,7,False
Nudge/,Nectarized,8,False
Necrobiosis,Needsly,8,False
Naphtha,Nuclein,6,False
Nuncupatory,Nubble,9,False
Numismatologist,Neutralist,9,False
Neurology,Necessitied,9,False
Nectarine,Nawl,7,False
Numismatist,Nemetean,8,False
Noggin,Niggish,3,False
