Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Flocculent,Cephalalgia,10,False
Joule's cycle,Horse,10,False
Identical,Palmetto flag,10,False
Jackaroo,Duplex,8,False
Knight's fee,Parchisi,10,False
Terra incognita,Pompon,13,False
-vated,Heliograph,10,False
Photochromotype,Phasing current,13,False
Ondoyant,Trecento,7,False
Saengerbund,punch,10,False
Colt pistol,Arecoline,10,False
Deck,Jacky,3,False
Capo tasto,Neo-Darwinism,12,False
Syncretism,Amigos,9,False
Motorize,Vis major,9,False
Betacismus,Antimonsoon,9,False
Telharmonic,Algometer,9,False
Volcanic wind,Busheled,12,False
Full house,Natal boil,8,False
Megalocephalia,Barathea,11,False
Matajuelo banco,Memorial rose,12,False
Hydroplane,Grotesquery,10,False
Heft,Technician,9,False
Heppelwhite,Chela,9,False
Yahweh,Flyaway grass,12,False
Mykiss,Pickup,6,False
Perpetual calendar,American plan,13,False
Air gap,Spinthariscope,11,False
High steel,Argonaut,9,False
Back fire,Landdrost,8,False
Orometer,Zastrugi,8,False
Mirrorscope,Shack,10,False
Univariant,Microseism,10,False
Suede,Kilerg,5,False
Okapi,Bonaci,4,False
Pericystitis,Spoonflower,12,False
Tussal,Externe,7,False
Potheen,Talcum,7,False
Ragnarok,-cated,7,False
Dribble,Backstop,8,False
American Protective Association,Anticline,25,False
Raskolniks,Sprayboard,10,False
Fluoroscopy,Colleen,10,False
Coulomb's law,Aphotic region,14,False
Three-mile,Crackaloo,9,False
Larvate,Crofton system,12,False
Alternating current,Riffle,17,False
Poseuse,Osteopath,8,False
University extension,Bowdlerizing,17,False
Scratch player,Warty-back,11,False
Cacostomia,Kinaesthetic,9,False
Olympian,Baraesthesiometer,16,False
Van't Hoff's law,Spermism,15,False
Dosimetry,Jahveh,8,False
Foucault current,Exudate,12,False
Skidder,Territorial waters,15,False
Topophone,Reluctance,8,False
Autohypnotic,Vinum,11,False
Waler,Rejuvenated,9,False
Thermophone,Madeira vine,9,False
Cummerbund,Concessionary,10,False
Weiss beer,Poseur,7,False
Phasing current,Coign,12,False
Photoluminescent,Variety show,15,False
Projector,Pyrograph,7,False
Railroad,Impasse,8,False
Hexagram,Mohammedan year,12,False
Treasury stock,Photo-electrograph,16,False
Walk,Chromed,7,False
Tonga,Magnetomotive,12,False
Bell system of control,Lightstruck,19,False
Osteopathy,Camelry,8,False
Uvulitis,Frijoles,7,False
Eddy current,Photo-engraved,13,False
Aviatrix,Crown colony,12,False
Lazaret fever,Alkali flat,10,False
Deaden,Photobacterium,12,False
Exaltation,Tachygraph,10,False
Pressboard,Nacre,9,False
Crack-loo,Seecatch,8,False
Feng-shui,Delta connection,14,False
Siemens-Martin steel,Delsarte,14,False
Dephase,Ambrosia beetle,13,False
Asterope,Autoharp,6,False
Alphol,Rigger,6,False
Air line,Bolo,7,False
Catchy,Topek,6,False
Cradleland,Shunt winding,11,False
