Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Pursing,Pruriency,5,False
Pseudoneuroptera,Portland vase,13,False
Placed,Protestator,9,False
Peripheries,Picktooth,9,False
Preference,Pallium,9,False
Polysyllabicism,Pyrolatry,11,False
Polyhedrons,Plumosite,9,False
Pertusion,Pileworm,8,False
Piqued,Paludine,6,False
Photographical,Peripneumony,13,False
Phycocyanin,Presumptively,12,False
Pissabed,Physiologic,9,False
Pond,Plagate,6,False
Philomathy,Pronominal,7,False
Physicist,Photo-epinasty,9,False
Practicalize,Proximal,7,False
Portension,Pretypifying,9,False
Plesiosauri,Perverting,9,False
Providentness,Prostitutor,9,False
Perpetration,Physopod,10,False
Presidary,Pressive,5,False
Pumpion,Pickpurse,7,False
Phyllodia,Platina,6,False
Purveying,Purred,5,False
Phalanxes,Pelerine,7,False
Packeted,Pretenseless,9,False
Pickpenny,Planarida,8,False
Preconcerting,Pittle-pattle,11,False
Paralyze,Punctist,7,False
Pterylosis,Plano-,8,False
Posied,Prosodian,5,False
Plumbed,Purloiner,6,False
Pachydermatous,Plenilunary,12,False
Perilymph,Piny,6,False
Pinkish,Psalmography,10,False
Pansclavonian,Pharyngotome,11,False
Pileiform,Patache,8,False
Pygidium,Preternaturalness,15,False
Postdiluvian,Pinacone,10,False
Procuration,Premiss,8,False
Pillar,Phosphorite,9,False
Pyrocitric,Prophesied,7,False
Principality,Palliating,8,False
Pet,Palter,4,False
Prospectus,Propepsin,5,False
Plunged,Pyrophanous,9,False
Patronize,Plowman,7,False
Puranic,Parasitical,6,False
Plagae,Popularized,7,False
Parallelogrammical,Probable,14,False
Pentadecylic,Pungy,9,False
Propyl,Palaetiologist,12,False
Prepollent,Peperine,6,False
Panic,Prodrome,7,False
Ptyalogogue,Penny,10,False
Probe-pointed,Physopoda,10,False
Procidence,Pelisse,7,False
Pleurothotonus,Pipal tree,12,False
Pectolite,Purified,7,False
Pediculina,Pelf,7,False
Pickapack,Palsies,8,False
Prong,-las,5,False
Psephism,Perturbator,10,False
Pickeering,Putamen,7,False
Purist,Preceptory,8,False
Parapherna,Peanism,8,False
Pelagian,Pistilliferous,12,False
Procreate,Plaza,7,False
Psephism,Pallah,7,False
Polytechnical,Perturbation,11,False
Praenominical,Peenge,10,False
Plowland,Procoele,6,False
Pedagogue,Pulverized,8,False
Pensible,Psalm,5,False
