Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Quiritation,Quarrying,7,False
Quadric,quartzous,7,False
Quaffing,Quinzaine,5,False
Quartridge,Quickwork,8,False
Quindem,Quinovin,4,False
Quiddled,Quat,6,False
Quatre,Quiddler,5,False
Quaffing,Quotationist,8,False
Quercitin,Quarries,5,False
Quadrangle,Quindecemvirs,10,False
Quacksalver,Quipped,8,False
Quatrefoil,Quadripennate,8,False
Quackled,Qualifiedness,8,False
Quarterpace,Quadrifurcated,7,False
Quadrated,Quinquepartite,10,False
Qua-bird,Quinque-,6,False
Questioner,Quaffer,6,False
Quet,Quits,2,False
Quab,Quill,3,False
Quinoxaline,Quet,9,False
Quater-cousin,Quarried,9,False
Queendom,Quinquelocular,11,False
Quotha,Quilling,6,False
Quadrupedal,Quadribasic,6,False
Quartering,Quarter-deck,5,False
Querist,Quercitin,4,False
Quadratrix,Quietus,7,False
Quantivalent,Quarreled,7,False
Questionableness,Quilter,11,False
Quartern,Quelquechose,9,False
Quincuncial,Quadratics,8,False
Quinogen,Queendom,6,False
Quinizine,Querying,5,False
Quassin,Quinquennium,9,False
Quadrated,Quinquennium,10,False
Queasily,Quartine,5,False
Quinogen,Querken,4,False
Quart,Quinquevalvular,12,False
Quartridge,Quinquepartite,9,False
Quadrivalvular,Quantitative,9,False
Quadrated,Quick-wittedness,11,False
Quintessential,Quindism,9,False
Quarterlies,Quinquelobate,10,False
Quiver,Quercitin,6,False
Qualitied,Quadrangular,9,False
Quirboilly,Quindecylic,7,False
Quish,Questioning,8,False
Quiddle,Quarantining,9,False
Quercitron,Quoth,7,False
Quarterlies,Quester,6,False
Quern,Quintin,4,False
Quadrinomial,Quest,10,False
Quinogen,quickened,6,False
Questorship,Quinquefoliate,11,False
Quake,Quelled,4,False
Quiveringly,Quartzoid,8,False
Quandary,Quarterpace,7,False
Quair,Quarrelling,7,False
Quinsy,Quadric,5,False
Quitch,Quinque-,5,False
Queintise,Quindism,3,False
