Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Scyphiform,Sombrero,8,False
Solere,Sphragide,7,False
Socket,Sitheman,6,False
Synovial,Stuck-up,7,False
Smoldered,Seraphina,8,False
Subspherical,Socinianism,10,False
Subnuvolar,Slag,7,False
Skutterudite,Size,9,False
Sulphinide,Systematizing,10,False
Sea crawfish,Spiritualist,9,False
Staurolite,Siliciferous,11,False
Scaturiginous,Saddle-backed,12,False
Slidderly,Suspensible,9,False
Sprout,Salmagundi,8,False
Smattering,Slaughterous,7,False
Salification,Spitting,8,False
Steerling,Shepherd,7,False
Sulphuryl,Solarium,7,False
Station,Staidly,4,False
Stylops,Stapelia,6,False
Squaccos,Spinstry,7,False
Sprit,Suffruticose,9,False
Slaver,Setting,6,False
Sternutation,Semeiotics,8,False
Smiled,Self-denial,9,False
Self-importance,Stilty,12,False
Smacking,Subsidy,6,False
Subdeaconship,Steered,11,False
Sketchy,Synclastic,9,False
Spawling,Sibilance,6,False
Soyle,Spongiole,5,False
Splenitis,Springy,6,False
Smittlish,Sanctiloquent,10,False
Superinducement,Self-deceit,9,False
Sister-in-law,Semiped,10,False
Stuck,Silvate,6,False
Selfish,Sinaitic,6,False
Sermocination,Soreness,10,False
Simulacrum,Stoechiology,11,False
Stud,Slim,3,False
Supremely,Schoolmate,8,False
Spheroidal,Swedenborgian,9,False
Spinner,Seining,4,False
Subtypical,Supperless,8,False
Stoic,Steerageway,9,False
Summit,Sifflement,7,False
Spurred,Saprophagan,9,False
Stair,Sightless,7,False
Sotto voce,Solemnly,8,False
Semirecondite,Self-abasement,12,False
Sorb,Skimmingly,9,False
Sacking,Sewen,5,False
Supplicate,Semipellucidity,10,False
Sebacic,Stuccos,5,False
Scoria,Spadefish,7,False
Stoutness,Skar,8,False
Silkensides,Snathe,8,False
Sagene,Syntheses,6,False
Styloid,Steersman,7,False
Sergeancies,Splenotomy,9,False
Surlily,Sweeting,6,False
Swanimote,Self-praise,9,False
Stigmatizing,saxicavas,11,False
Shern,Self-willed,10,False
Sheartail,Scurrit,6,False
Silentiary,Somewhile,7,False
Syntactic,Sylphine,7,False
Sea turn,Sofas,7,False
Scrolled,Shintiism,8,False
Spathous,Swad,6,False
Stamineal,Silt,7,False
Stillion,Strychnia,7,False
Sparth,Sabbaton,6,False
Sundryman,Saltcat,7,False
Styloid,Symposia,5,False
Spalt,Sulphatic,6,False
Surmen,Sea louse,8,False
Sea pike,Stereoscopic,9,False
Speculum,Scotched,7,False
Solve,Slik,3,False
Strow,Sabeism,6,False
Scelestic,Shovelling,7,False
Shogunate,Sportsman,7,False
Southerner,Stibborn,7,False
Shielddrake,Spurging,10,False
Sari,Sioux,4,False
Sharpshooting,Suburbicary,12,False
Swinney,Slipthrift,8,False
Slaughterman,Sanguify,9,False
Stepbrother,Striating,8,False
Swonk,'Sblood,5,False
Semiangle,Slouchy,8,False
Stimulate,Set-off,8,False
Spareless,Satanophany,9,False
Slivering,Sub-bass,8,False
Shoulder-shotten,Self-slaughter,12,False
Spectrally,Safeguard,8,False
Sevennight,Scomberoid,9,False
Solicited,Soredia,6,False
Serine,Stir,4,False
Subumbonal,Septuagesima,10,False
Snow-blind,Sportingly,8,False
Scopiform,Subcultrated,10,False
Seerhand,Sombre,7,False
Spy,Skyey,3,False
Smuggled,Sparing,7,False
Steam,Sociate,5,False
Subfuscous,Saccule,8,False
Seaware,Susurration,9,False
Seep,Sacrificant,10,False
Sincere,Saddle-backed,10,False
Solifugae,Surdal,7,False
Selachii,Sanctificate,9,False
Swinck,Siriasis,6,False
Suspire,Sea cow,6,False
Stripper,Slock,7,False
Scortatory,Submentum,8,False
Superheating,Stagecoach,10,False
Soaping,Shield,6,False
Slent,Swainish,6,False
Sourcrout,Sick-brained,10,False
Shanny,Sheiling,5,False
Spoutless,Slugs,6,False
Splintered,Stepchild,8,False
Summary,Sheeling,7,False
Sprug,Simia,4,False
Supersedeas,Sediment,8,False
Strophiolated,staring,11,False
Sectoral,Seagirt,5,False
Spakenet,Sawdust,5,False
Sacristan,Satirist,4,False
Standard-bred,Semilapidified,9,False
Stifled,Sea peach,7,False
Slumbered,Stahlism,8,False
Scepterless,Stimuli,9,False
Sinoper,Self-complacent,11,False
Sewster,Snouty,5,False
Sleightful,Side-wheel,7,False
Siliciureted,Straying,10,False
Scringed,Somonaunce,8,False
Swarthy,Sporadical,8,False
Suturally,Story,5,False
Sagging,Sheet,6,False
Stably,Supernal,7,False
SSociable,Selenography,9,False
Sitting,Supervening,7,False
Semi-Arian,Stanchion,7,False
Self-made,Sentence,6,False
Spicer,Securable,7,False
Superstructor,Slatternly,11,False
Sink,Spray,4,False
Seralbumen,Shedding,9,False
Saute,Sycophantish,9,False
Sarcosin,Skinless,7,False
Sea mantis,Shrinker,8,False
Swooning,Statua,7,False
Seborrhea,Scissorsbill,9,False
Selected,Staminate,7,False
Swash,Scomber,6,False
Shadow,Sabaeanism,8,False
Subministrate,Sensuism,10,False
Sentires,Scathed,5,False
Shadowless,Slowback,7,False
Salient,Showbread,7,False
Stover,Squaloid,7,False
Scullionly,Slatternly,6,False
Swich,Scatter,6,False
Savior,Something,7,False
Semeniferous,Stabber,9,False
Self-ignorance,Sillily,11,False
Shoreward,Spray,6,False
Scraping,Scorching,3,False
Snail,Sarcosis,6,False
Salivated,Strangle,7,False
Sexdigitism,Severing,8,False
Ship,Seraskierate,10,False
Separability,Sick,10,False
Sumph,Sig,4,False
Sapid,Syllogize,7,False
Skinniness,Schoolhouse,9,False
Sustentate,Situation,7,False
Sloven,Surcloy,6,False
Swart,Stunt,3,False
Semicastrate,Salvo,10,False
Stepped,Suage,5,False
Shrouding,Stone-dead,8,False
Sigher,Sharpsaw,7,False
Superexcellent,Strive,11,False
Scapula,Superincumbent,12,False
Self-satisfying,Sea raven,11,False
Salmon,Siciliano,6,False
Slubber,Subprior,5,False
Sugar-house,Soursop,8,False
Sepelition,Spathal,7,False
Squareness,Synacmy,8,False
Scrimpness,Spaced,8,False
Syncytium,Soliloquy,7,False
Shun,Sudden,4,False
Slanginess,Sleek,7,False
Scrimption,Songless,9,False
Shedding,Shot,6,False
Sclerotical,Safe-keeping,10,False
Savored,Stickit,6,False
Scythemen,Stateless,6,False
Squally,Spinozism,8,False
Summery,Sapient,5,False
Statable,Snivelling,8,False
Squinch,Scripturalist,11,False
Scape,Saros,4,False
Synosteosis,Solo,8,False
Soutage,Submit,5,False
Stringcourse,Seed,11,False
Scruze,Salted,5,False
Strewed,Sely,5,False
Swatch,Sorbile,6,False
Stegnotic,Skullfish,8,False
Sifflement,Shameless,7,False
Scorious,Shepherdia,9,False
Schooling,Sandalwood,8,False
Squamoid,Sigaultian,7,False
Snow-blind,Splent,7,False
Sown,Saucy,4,False
Sinical,Stonecrop,6,False
Steer,Sublimation,9,False
Soldierlike,Sulphovinic,9,False
Schetic,Sejunction,7,False
Squib,Sward-cutter,10,False
Snack,Soar,3,False
Syphilitically,Spancelled,10,False
Sleightly,Subclavian,9,False
Spur,Spraints,6,False
Slapped,Spinose,6,False
Streighten,Skeletal,7,False
Supervising,Sucrate,8,False
Salpicon,Sesquipedal,9,False
Smolderingness,Scrim,11,False
Slipstring,Stove,8,False
Sabling,Scary,6,False
Scopiform,Spicula,6,False
Separative,Systematized,7,False
Scobs,Streamed,7,False
Speckle,Stow,6,False
Snug,Slighten,6,False
Speedful,Systematization,13,False
Semiverticillate,Snaphance,13,False
Short-waisted,Shielded,9,False
Scaphognathite,Spanked,11,False
Sporran,Stereoplasm,8,False
Surbased,Sailmaker,6,False
Shilf,Scrupulist,8,False
Sideromancy,Siderated,5,False
Self-ignorant,Sensually,10,False
Soullessly,Sternness,7,False
Subspherical,Sajou,11,False
Swang,Shepen,5,False
Spritsail,Solan goose,10,False
Sax-tuba,Self-contradictory,15,False
Sombrous,Sugarless,6,False
Scalado,Slub,5,False
Scrouge,Sedentary,8,False
Skull,Statuesquely,9,False
Stylist,Schooling,6,False
Singsong,Surf,7,False
Shake,Spondyl,6,False
Suricat,Scoured,6,False
Stanniferous,Serrulated,11,False
Subacromial,Substitutionary,10,False
Sapodilla,Self-conscious,11,False
Subzonal,Staphyline,9,False
Speiskobalt,Soyned,9,False
Stagworm,Sporting,7,False
Sticcado,Scur,6,False
Subdeaconry,Schreibersite,11,False
Suroxidate,Swindling,9,False
Sensoriums,Stola,8,False
Snowplough,Shaded,9,False
Subtruding,Subsidy,6,False
Scrag-necked,Spindling,10,False
Semibreve,Stoppage,7,False
Sepiostare,Sympathizer,9,False
Scolder,Statesmanship,12,False
Superheated,Suillage,7,False
Superannuate,Silty,10,False
Sifflement,Storey,8,False
Self-preservation,Sun-struck,13,False
Stalely,Sacker,5,False
Squesy,Splendor,6,False
Setiferous,Stalwart,8,False
Separate,Steadied,6,False
Suture,Supreme,4,False
Sweeting,Self-neglecting,8,False
Sadh,Semeiological,12,False
Shrag,Simmering,6,False
Sepulchral,Surceaseance,10,False
Slicing,Strongyloid,9,False
Supersalient,Scragginess,9,False
Sporidia,Semiacid,6,False
Scratch,Skrupling,7,False
Strength,Succuba,7,False
Strait-handed,Self-diffusive,12,False
Shrank,Scribatious,8,False
Stigmas,Serpentine,9,False
Spit curl,Schizopod,8,False
Silicicalcareous,Sowl,14,False
Shode,Southernly,8,False
Subterranity,Subhyaloid,8,False
Spadassin,Semisoun,6,False
Saccharified,Scopiform,8,False
Slipstring,Start,8,False
Surnominal,Splinted,8,False
Squad,Stone-horse,10,False
Sternothyroid,Stroking,9,False
Sclavic,Subsistency,9,False
Salpa,Stiffness,8,False
Sacrarium,Stroboscope,10,False
Semiology,Silverfish,9,False
Saprophytic,Sinupalliate,10,False
Sublibrarian,Servian,7,False
Subtilization,Sulphocarbonic,10,False
Skirlcrake,Squawl,8,False
Southed,Syncytium,7,False
Sleepy,Supplicatory,9,False
Sensuous,Stealthful,7,False
Shrivelled,Sibylline,7,False
Steeving,Spiritually,10,False
Saying,Sometimes,7,False
Sedimentation,Sexradiate,9,False
Smugness,Sparoid,7,False
Stearin,Supra-axillary,11,False
Surmisal,Squashy,6,False
Sinistrin,Stultification,9,False
Spathae,Superinduce,8,False
Stereotypography,Spiral,12,False
Schneiderian,Sorrance,10,False
Salices,Scrimmage,7,False
Self-trust,Sour,8,False
Sustre,Solipsism,7,False
Supernacular,Synneorosis,11,False
Subdeanery,Spider,6,False
Stripped,Subjection,9,False
Shanghaied,Sea gudgeon,7,False
Sane,Septentrion,9,False
Self-complacent,Scythian,11,False
Seel,Soldieress,7,False
Sentineled,Shuffleboard,9,False
Sejeant,Strived,6,False
Slanderer,Soldering,6,False
Stranding,Secretiveness,10,False
Sickening,Sheenly,6,False
Subcoracoid,Supportful,7,False
Sonifer,Sponginess,5,False
Sigaultian,Scotoma,8,False
Soleness,Swimbel,6,False
Stearrhea,Solas,7,False
Silicification,Sanskrit,11,False
Snatched,Shyster,6,False
Stemmery,Secre,5,False
Strive,Silverized,6,False
Seck,Superposing,9,False
Sightsman,Spina bifida,10,False
Swamped,Starriness,7,False
Scampavia,Storven,7,False
Significant,Stormglass,9,False
Shucked,Sepic,6,False
Subagency,Sophomore,8,False
Sclavism,Signaled (/) or Signalled,22,False
Skirmish,Shared,6,False
Sunnite,Sacrificant,9,False
Stowing,Stowce,3,False
Scouted,Squill,5,False
Staffmen,Shepherdess,9,False
Swiller,Stulty,5,False
Sunshiny,Scrophulariaceous,14,False
Surrounding,Stringpiece,9,False
Sanguinolent,Saliency,8,False
Spume,Sharker,5,False
Statuette,Sagapen,7,False
Slug,Self-sufficient,12,False
Scutibranchiate,Sabaism,11,False
Solitary,Sipping,7,False
Steining,Sacrovertebral,12,False
Spectroscopy,Sorbet,10,False
Suppositor,School-teacher,10,False
Senocular,Serricorn,7,False
Sperge,Smallish,7,False
Sopition,Subjoining,7,False
Slumberingly,Shunning,7,False
Straighten,Spayade,7,False
Smickering,Supply,9,False
Sea blite,Spool,7,False
Stow,Shake,4,False
Smally,Stiffened,8,False
Stabler,Stanza,4,False
Sluggardize,Sempstressy,9,False
Serpentarius,Subtreasurer,10,False
Suffruticous,Shoveboard,11,False
Stratigraphic,Shanties,10,False
Slowh,Subconjunctival,13,False
Steining,Staynil,4,False
Samaritan,Surging,7,False
Shindle,Saltigradae,7,False
Socialist,Sond,7,False
Serviture,Selvas,6,False
Stipulaceous,Solanine,9,False
Satiric,Scleroskeleton,12,False
Scuttle,Sepoy,6,False
Stammered,Sublition,8,False
Synergetic,Sarmentaceous,10,False
Sforzato,Saw-toothed,9,False
Steeping,Sedimentation,10,False
Sonde,Subderivative,10,False
Sheerly,Succinous,8,False
Seasick,Spancel,5,False
Skeed,-ties,4,False
Sanctity,Sulkily,5,False
Subsidized,Somniculous,9,False
Staghound,Scandium,6,False
Spoonwort,Semidetached,11,False
Swingel,Subacrid,7,False
Smooth-spoken,Styrolene,9,False
Syderolite,Stopless,8,False
Slatternly,Serious,8,False
Stylobate,Self-repellency,13,False
Semen,Shoal,4,False
Scotoma,Snagged,6,False
Sharock,Southwester,9,False
Subseptuple,Stormful,8,False
Swagger,Synallaxine,9,False
Shock-head,Spalpeen,8,False
Streaming,Sea brief,7,False
Showing,Serr,6,False
Slabbing,Steep,7,False
Swedish,Suburb,6,False
Subsalt,Staminode,8,False
Smirkingly,Saturnicentric,10,False
Slipshod,Subvene,7,False
Saporous,Syker,6,False
Swiple,Self-praise,8,False
Sceptring,Serpentigenous,10,False
Septical,Stigmata,6,False
Stich,Sulk,4,False
Subashdary,Synod,8,False
Sea bat,Subarcuate,6,False
Shroudless,Sturiones,7,False
Snuffbox,Solfeggiare,9,False
Stiffener,Sigaultian,9,False
Silure,Synapticulae,8,False
Spoliated,Surbedded,6,False
Spearhead,Stone,7,False
Speeded,Stichic,6,False
'Swounds,Spindle-shanked,13,False
Selfishly,Subconcave,9,False
Sabaean,Sciuroid,7,False
Smeath,Self-slaughter,11,False
Surrey,Stadtholdership,13,False
Spout,Spikebill,7,False
Sixteenth,Spiritous,8,False
Stakehead,Supraspinate,9,False
Semiparabola,Supersubtle,8,False
Stodgy,Supposititious,12,False
Survivance,Seaming,7,False
Sexenary,Sense,5,False
Semiring,Section,5,False
Solecist,Scapegrace,8,False
Scagliola,Stiff,7,False
Sergeanty,Systematizer,9,False
Self-conviction,Spurless,14,False
Subjectivism,Summed,9,False
Sabicu,Shovelled,8,False
Scared,Syringin,7,False
Squamiform,Sauced,8,False
Stably,Spruce,5,False
Shone,Senility,7,False
Socinian,Stereoscopic,9,False
Schemas,Silicule,7,False
Sea snake,Sacculi,7,False
Samshoo,Sprawled,7,False
Save,Surrogateship,10,False
