Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Valeramide,Venatorial,8,False
Vaunt-courier,Vialing,11,False
Vigilant,Viciosity,5,False
Venose,Vasculose,5,False
Vraisemblance,Vestiary,10,False
Verse,Vibrissae,5,False
Visionist,Votist,4,False
Vapidity,Vesicating,7,False
Vapored,Versual,6,False
Vitreous,Vengement,7,False
Vagina,Vidette,6,False
Vengeancely,Votaress,8,False
Vestryman,Verrel,6,False
Vincibility,Ventriculus,8,False
Viewy,Ventriloquism,11,False
Ventilating,Venerability,8,False
Verbenate,Visa,7,False
Verve,Verdant,4,False
Vega,Vatful,5,False
Vive,Vivency,3,False
Vega,Variegation,7,False
Valved,Vermil,5,False
Varnished,Virtuosity,7,False
Vaza parrot,Vulgarity,8,False
Verecundious,Vespers,9,False
Vice,Vaporize,5,False
Verged,Vexillation,9,False
Valkyria,Versificator,9,False
Voyaged,Variegating,9,False
Vinculums,Verdured,7,False
Voicing,Valeramide,8,False
Vindicate,Vestryman,8,False
Vestigate,Variolous,8,False
Vitriolated,Valve-shell,10,False
Vanquished,Vent,8,False
Vesication,Varangian,7,False
Vouchee,Vitrite,5,False
Vimen,Voidance,5,False
Volleying,Vulnerose,6,False
Veratric,Vacillation,8,False
Viewy,Virose,4,False
Votive,Vermicelli,7,False
Vaunting,Vaso-inhibitory,11,False
Violantin,Vulnerability,10,False
Volcanize,Viverrine,6,False
Valuing,Volge,5,False
Volitient,Venerability,9,False
Vile,Vindemial,6,False
Venatica,Vocule,7,False
Voucher,Vaunt-courier,8,False
Varicella,Vicary,6,False
Vitiousness,Villainous,7,False
Verticillus,Vilipendency,11,False
Videlicet,Vivifical,5,False
Voiture,Vocabulist,7,False
Viva voce,Venetian,8,False
Victus,Victualed,4,False
Vaseline,Ventilation,8,False
Volkslied,Vis-a-vis,8,False
Vaccinated,Vitis,7,False
Vulnerable,Vility,8,False
Villenous,Vedro,7,False
Vishnu,Valerianic,8,False
Vanessa,Vincible,6,False
Volunteering,Veal,10,False
Verbalizing,Vergette,8,False
Volitional,Valeridine,7,False
Vetust,Vigily,5,False
Valerian,Visibility,8,False
Vari,Varletry,5,False
Verminly,Valvate,7,False
Vivified,Vindicative,7,False
Verdit,Vulviform,7,False
Vow,Vaginated,8,False
Verisimility,Vondsira,9,False
Viburnum,Veery,6,False
Vegetable,Valentia,7,False
Vermicious,Vincture,8,False
Vulgarly,Voter,6,False
Videlicet,Velvetbreast,8,False
Vital,Vanquishable,8,False
Vintaging,Vacuolation,8,False
Valeric,Vertebra,6,False
Vernicle,Vyce,5,False
Verticality,Vitalization,8,False
Vestry,Vizier-azem,9,False
Verriculate,Vigoroso,9,False
Vamplate,Vociferate,6,False
Versute,Valenciennes lace,13,False
Vindemiation,Verticillate,10,False
Veinstone,Viseing,5,False
Vowelish,Vile,6,False
Vacillate,Vermiform,8,False
Villanage,Vagabondize,8,False
Verbally,Vermicelli,5,False
Venite,Veadar,4,False
Vulgarism,Velours,5,False
Viseed,Venefice,6,False
Vitrification,Vendemiaire,9,False
Virgo,Vivisectional,10,False
Venesection,Vulcanic,9,False
Vulnose,Viminal,6,False
Venality,Verecundity,6,False
Valuably,Vesta,6,False
Vaporish,Viander,7,False
Vaccination,Variant,7,False
Victual,Varisse,6,False
Vital,Vibices,5,False
Vein,Value,4,False
Vedanta,Violence,6,False
Valiancy,Vorticellae,9,False
Vinaigrette,Visard,7,False
Vitre-o-electic,Versify,13,False
Velure,Vile,3,False
Venesection,Vanglo,8,False
Vulneration,Viva voce,9,False
Vergeboard,Vice,8,False
Venulose,Vastation,8,False
Vibracula,Vulturism,8,False
Voiding,Versimilous,8,False
Vaginula,Verisimilitude,11,False
Vaticanism,Vesicular,7,False
Vibroscope,Visage,6,False
Vantbrass,Venous,6,False
Virus,Vanilloes,6,False
Veneracea,Vedantist,7,False
Valerianate,Vamping,7,False
Vaporable,Vainglory,7,False
Vibraculum,Vermiformia,9,False
Vialed,Volitive,6,False
Vermination,Voir dire,8,False
Vela,Viking,5,False
Veiled,Vegeto-animal,10,False
Vaporation,Vauty,7,False
Variegate,Vitiation,7,False
Vadimony,Vengeable,8,False
Vow,Volcano,5,False
Vindicating,Victress,8,False
Venerability,Valved,9,False
Vection,Varicose,6,False
Vitriolated,Vanillin,8,False
Vatted,Verecundity,9,False
Vatting,Villosity,7,False
Vernish,Vestales,6,False
Verd,Vastation,8,False
Vimen,Vireton,3,False
Visual,Variety,6,False
Veraciously,Validate,8,False
Venue,Victual,5,False
Vestries,Voussoir,6,False
Voyageable,Varicose,7,False
Vertex,Vampire,6,False
Viceroy,Vomitories,7,False
Valve,Venesection,9,False
Vorticellae,Versableness,9,False
Vap,Vicissitudinous,14,False
Vocabulist,Verdin,8,False
Vulneration,Verfication,5,False
Ventose,Vivaria,6,False
Valorous,Vivisectionist,11,False
Vasculose,Virescent,8,False
Vanished,Volary,7,False
Vaivode,Vanity,5,False
Victualling,Voltaic,7,False
Versicolored,Vulnerary,10,False
Villanette,Varicose,8,False
-tos,Verticle,7,False
Valiance,Vanadic,5,False
Violator,Ventail,6,False
Vesiculous,Vaguely,8,False
Valvulae,Vagabondize,8,False
Virtuosoship,Vadantes,10,False
Voweled,Vitrescible,8,False
Vaza parrot,Vertebrally,10,False
Vespa,Vitelline,7,False
Volleys,Vouchment,6,False
Vintaging,Volcanic,6,False
Vacuum,Vernier,6,False
Vitiligo,Venter,7,False
Vitellin,Varnish,7,False
Venue,Verdantly,6,False
Velivolant,Voice,8,False
Velocipede,Vanadate,8,False
Velivolant,Vasum,9,False
Vittae,Vassalry,6,False
Venosity,Verify,4,False
Venally,Vesper,5,False
Visive,Vaulted,5,False
Villatic,Voltmeter,6,False
Vindicatory,Vertebrae,10,False
Vanadyl,Vidette,6,False
Vivifical,Vervain,7,False
Veney,Vocative,7,False
Visite,Varioloid,7,False
Vicing,Victorious,6,False
Vection,Variation,4,False
Villanage,Votarist,7,False
Veronese,Villagery,7,False
Venthole,Vermetus,6,False
Voider,Vetoing,5,False
Volapukist,Vulturism,5,False
Vacuums,Vacuation,5,False
Vamper,Ventriculus,10,False
Vastly,Vide,5,False
Vivency,Venality,6,False
Vocalized,Veney,7,False
Vasodilator,Visaed,8,False
Voraginous,Vocalization,8,False
Vermiculite,Viviparousness,12,False
Veteran,Villanella,8,False
Venae cavae,Vehemency,8,False
Vaivode,Velutinous,7,False
Veinous,Varan,6,False
Variolar,Vyce,7,False
Venesection,Vacuation,6,False
Vaunted,Voyageur,6,False
Veratralbine,Venom,10,False
Vertigines,Vends,6,False
Verset,Vicarial,6,False
Vendetta,Vantage,6,False
Vesicating,Vertebro-,8,False
Vouchsafing,Vaporose,10,False
Vegetality,Vitilitigate,9,False
Veniality,Volar,7,False
Venosity,Vindicating,8,False
Vouchsafe,Viticultural,10,False
Voe,Ventage,5,False
Vyce,Vibices,4,False
Voluta,Vell,4,False
Viner,Vehemency,7,False
Veritable,Vice-regal,7,False
Viaduct,Vehiculation,9,False
Ventriculi,Villagery,9,False
Viciosity,Voltairean,9,False
