Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Tintometer,Skiascope,9,False
Royal spade,Dope,8,False
Leg-of-mutton,-nemia,11,False
Contes,Deerstalker,9,False
Rapid-fire mount,Yuman,14,False
Hetaira,Hot-short,6,False
Kneippism,Chit,8,False
Sley,Arthrotome,10,False
Hip lock,Phase rule,9,False
Alloy steel,Becchi's test,10,False
Sagebrush State,Cossack post,13,False
Nixie clerk,Weiss beer,8,False
Gaselier,Potheen,7,False
Discovery Day,Hebrew calendar,14,False
Stream clock,Phosphine,12,False
Cleeked,Vulcan powder,11,False
Telephotographic,Ragtime,15,False
Bermuda lily,Swagman,11,False
Comitiva,Wind-shaken,10,False
Star stereogram,Word method,12,False
Tienda,Neutrophil,10,False
Flatware,Cassava wood,10,False
Cross-buttock,Corbelling,10,False
Verein,Sonoran,6,False
Telegony,Redif,7,False
Thug,Cha,3,False
Anglo-Catholicism,Engineer Corps,13,False
Chemotaxis,Cascaron,8,False
Odinism,Evaginate,7,False
Mutessarifat,Roquefort,10,False
Hone,-ized,4,False
Uncut velvet,Doffer,11,False
Bond,Detonator,7,False
Anorthosite,X-rays,9,False
Skyman,Quod,6,False
Couleur,Anthrax vaccine,15,False
Apneumatic,Flitch,9,False
Colonialism,Slagging,9,False
Mezza majolica,Dionysia,12,False
Cruise,Whitehead torpedo,16,False
Kitty,Goose-rumped,12,False
Resistance frame,Very,14,False
Toxoid,Allelomorph,9,False
Creosote bush,-olled,11,False
Polyphote,Series motor,10,False
Peninsula State,Liangle,12,False
Pipe-line,Prime,6,False
Mousseline de soie,Geishas,15,False
Wash stand,Cachaemia,8,False
Babool,Keystone State,13,False
Nibelungenlied,Reforested,10,False
Fogy,Pipe-line,9,False
Ear-minded,Pericystitis,11,False
Monosaccharide,Press proof,12,False
spectre,Puggry,6,False
ASsign,Inductance,9,False
Idolon,Yamen,5,False
Diet,Zeeman effect,11,False
Deck,Silencer,6,False
Chapareras,Punter,8,False
Skidder,Titivating,9,False
Jackeroo,Anthracene oil,10,False
Aerodonetics,Tipster,11,False
Ergon,Paymaster-general,14,False
Lavalliere,Stymie,8,False
Geocentric,Chain tie,8,False
Telemotor,University extension,17,False
Cardiogram,Doffer,9,False
Enfleurage,Duff,9,False
Hypallelomorph,Toe hold,12,False
Adrenalin,Mastaba,8,False
Cloot,Strain,6,False
Visualize,Siemens-Martin steel,15,False
Rechauffe,Dreadnought,9,False
Referendum,Telephotograph,12,False
Colonialism,Bye,11,False
Hybrid,Milady,6,False
Photoceramics,-droming,10,False
Clootie,Persiennes,9,False
Rubberize,Fluviograph,9,False
Trecento,Pillow lace,11,False
Top,Belleek ware,12,False
Charlie,Volunteer State,13,False
Tank,Aviatress,8,False
Compotiers,Thermoneutrality,14,False
California jack,-cropped,14,False
Wire tapper,Mackinaw coat,12,False
