Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Xanthogen,Xanthous,3,False
Xylol,Xylogen,3,False
Xylophilan,Xenopterygii,9,False
Xeronate,Xenopterygii,8,False
Xiphias,Xanthous,5,False
Xanthopuccine,Xanthoma,7,False
Xylophagides,Xiphosura,9,False
Xanthoprotein,Xyloplastic,9,False
Xiphisterna,Xylophone,9,False
Xanthoxylum,Xyloid,9,False
Xylorcin,Xanthamide,8,False
Xerophthalmy,Xerophthalmy,0,True
Xiphiplastron,Xeronic,11,False
Xanthamide,Xylanthrax,7,False
Xeraphim,Xenelasia,6,False
Xanthocarpous,Xanthopous,3,False
Xyris,Xylic,2,False
Xenogenetic,Xanthamide,9,False
Xylylene,Xiphoidian,9,False
Xiphisterna,Xylocarpous,10,False
Xylophone,Xiphodon,6,False
Xanthoxylene,Xanthoxylene,0,True
Xanthopuccine,Xenium,10,False
Xiphiplastra,Xenelasia,7,False
Xenium,Xylography,9,False
Xylography,Xeriff,8,False
Xanthelasma,Xanthopuccine,8,False
Xyridaceous,Xanthogen,9,False
Xylophilan,Xanthoma,7,False
X,Xanthinine,9,False
Xanthin,Xanthopuccine,6,False
Xylite,Xylocopa,5,False
Xylotile,Xylophagan,6,False
Xenogenesis,Xanthate,8,False
Xylol,Xylamide,5,False
Xiphoid,Xylophilous,7,False
Xylitone,Xanthelasma,10,False
Xylocarpous,Xeraphim,8,False
Xanthocarpous,Xebec,11,False
Xenopterygii,Xanthosis,8,False
Xylographer,Xylograph,2,False
Xanthic,Xylenol,6,False
Xylocarpous,Xanthogenic,10,False
Xylol,Xylitone,4,False
Xylol,Xenodochy,7,False
Xanthorhamnin,Xebec,12,False
Xylophagides,Xerif,10,False
Xanthinine,Xanthic,4,False
Xanthide,Xyloplastic,9,False
Xanthoxylum,Xylogen,9,False
Xanthamide,Xenodochy,8,False
Xanthium,Xylindein,7,False
Xiphisternum,Xanthosis,10,False
Xeronate,Xylophilous,9,False
Xanthodontous,Xanthoma,7,False
Xylanthrax,X,9,False
Xenogenetic,Xanthium,9,False
Xiphura,X,6,False
Xylograph,Xanthospermous,11,False
Xanthium,Xylorcin,7,False
Xanthate,Xanthogenate,4,False
Xylorcin,Xylography,5,False
Xylo-,Xylylene,5,False
