Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Ytterbic,Your,6,False
Yupon,Yarely,5,False
Yawningly,Youthful,7,False
Ysame,Yamma,3,False
Yester-morning,Ycleped,12,False
Yodling,Yaffle,6,False
Yell,Yeven,3,False
Yacare,Yeorling,7,False
Youl,Yowley,3,True
Yellowseed,Yesternight,9,False
Yakamilk,Yarage,5,False
Yama,Yeldhall,6,False
Ytterbium,Yeastiness,9,False
Yufts,Yeast-bitten,10,False
Ylike,Yaksha,5,False
Yaguarundi,Yawning,7,False
Yholde,Ye,4,False
Yearbook,Yerk,4,False
Yang,Yellowfin,8,False
Youthsome,Yuckel,7,False
Yond,Yard,2,False
Yew,Youthsome,8,False
Yvel,Yoked,3,False
Yellow-eyed,Yoked,7,False
Yearned,Yama,5,False
Yearnful,Yelp,6,False
Yite,Yojan,4,False
Yachting,Yoit,6,False
Yoit,Yellow-eyed,9,False
Youpon,Yearth,5,False
Yaw,Yule,3,False
Yielding,Yesterweek,8,False
Yonker,Yodel,3,False
Yearningly,Yes,8,False
Yesternoon,Yellowshanks,9,False
Yachting,Yaourt,6,False
Yelp,Yankee-Doodle,10,False
Yearned,Yawningly,7,False
Yaffle,Yuen,5,False
Yold,Ywis,3,False
Yttro-tantalite,Yote,11,False
Yojan,Year,3,False
Youngly,Yellow-eyed,9,False
Yardland,Yankee-Doodle,10,False
Yellowing,Yellowed,3,False
Yaulp,Yule,2,False
Yelp,Yardarm,6,False
Yerd,Yeel,2,False
Youngly,Youthhood,6,False
Yoke-toed,Yarnen,7,False
Yester-evening,Yellowish,11,False
Yellows,Yours,5,False
Yanking,Yajur-Veda,8,False
Yank,Youngger,6,False
Yvel,Yuke,3,False
-yl,Yalah,4,False
Yardland,Yaffle,5,False
Yardwand,Ymel,7,False
Yellow-golds,Yearbook,9,False
Yux,Yllanraton,9,False
Yaf,Youngster,8,False
Yellowwort,Yajur-Veda,9,False
Yokefellow,Yoke,6,False
Ynambu,Yellowing,8,False
Yellowlegs,Yourself,8,False
Yapon,Ylike,4,False
Yeomanry,Yerne,5,False
Yarr,Yelling,6,False
Yezdegerdian,Yellowwood,10,False
Yttric,Ynough,5,False
Yokel,Yeldrine,7,False
Yodler,Youngness,6,False
Youthsome,Yakare,7,False
Yestern,Yaws,6,False
Yachtsmen,Yours,7,False
Yellowed,Yelping,5,False
Yelping,Yonder,6,False
Yesterweek,Yellowing,7,False
Yellowhammer,Yonder,8,False
Yarke,Yttro-cerite,9,False
Yulan,Youthy,4,False
Yodled,Yeast,5,False
Yis,Yarnen,5,False
Yearned,Yond,4,False
Yezdegerdian,Yearnings,9,False
Yank,Yin,2,False
Yawed,Yearned,3,False
Yelping,Yelling,1,False
Yielded,Yug,6,False
Yellow-eyed,Y's,10,False
Yezdegerdian,You,11,False
Yearned,Yeastiness,5,False
Yam,Youngness,8,False
Ydo,Ywar,3,False
Yester,Ys,4,False
Yaulp,Yonder,5,False
Yaourt,Yite,5,False
Y-,Yeast-bitten,10,False
Yaffle,Yellowtail,9,False
Yground,Yellowroot,8,False
Yacht,Yerne,4,False
Yap,Yea,2,False
Yaksha,Yis,4,False
Yonder,Yede,3,False
Yt,Yeast,3,False
Yawed,Yonder,4,False
Ypight,Year,5,False
Yezidi,Ys,5,False
Yawp,Yajur-Veda,8,False
Yellowhammer,Yellow-covered,6,False
Yellowthroat,Yow,9,False
Yesty,Yaguarundi,9,False
Yieldless,Yellow,5,False
Yankee,Y-,5,False
Yarke,Yaf,3,False
Yawd,Yearbook,6,False
Yellows,Yamma,6,False
Youngish,Yttriferous,10,False
Yarwhip,Yest,6,False
Yote,Yesternoon,7,False
Yeast,Youthful,7,False
Yelped,Yllanraton,8,False
Yellowed,Yellowfish,4,False
Yate,Yellowwood,9,False
Yer,Yonder,3,False
Yowley,Ylike,4,False
Yacht,Yearly,4,False
Yellowtop,Yttrium,8,False
Youngish,Yuletide,6,False
Yare,Youngish,7,False
Yezdi,Yfere,4,False
Youthsome,Yerking,8,False
Yerne,Yond,3,False
Yold,Yawl-rigged,8,False
Youthful,Ys,7,False
Yond,Yerst,4,False
Yeomanry,Yenite,6,False
Yucca,Yodeled,6,False
Yoked,Yawp,4,False
Yenite,Yttrious,6,False
Ypight,Yester-evening,13,False
Yowley,Yawned,3,False
Yeldrin,Yellowing,4,False
Yellowroot,Yeorling,7,False
Y-,Yokel,4,False
Yoking,Yestereve,8,False
Yeaning,Yuke,6,False
Yieldance,Yerk,7,False
Yellow,Yes,4,False
Yate,Youngth,5,False
Yelled,Yea,4,False
Yesterday,Yawed,6,False
Ypsiliform,Youl,8,False
Yttro-columbite,Yellowroot,11,False
Yest,Yellowwood,8,False
Yex,Yerd,2,False
Yend,Ypocras,6,False
Yellowbill,Ydo,8,False
Youngly,Yarage,5,False
Yachtsman,Yearned,8,False
Yokeage,Yam,5,False
Yester,Yerd,4,False
Yelper,Yuga,5,False
Ypocras,Yow,5,False
Yellowshins,Ygdrasyl,9,False
Yolk,Yle,2,False
