Word 1,Word 2,Levenshtein Distance,Doublemetaphone Match
Zymogenic,Zoologies,7,False
Zinnwaldite,Zoo-,10,False
Zoophilist,Zoochemy,6,False
Zamite,Zoutch,5,False
Zeuglodont,Zoo-,7,False
Zachun,Zyophyte,6,False
Zamindary,Zygobranchiate,11,False
Zincode,Zohar,6,False
Zythem,Zoon,5,False
Zygodactyl,Zambo,8,False
Zymogene,Zincify,7,False
Zoophagan,Zygodactylous,11,False
Zoologically,Zooecium,8,False
Zechin,Zeuglodont,7,False
Zemni,Zanies,4,False
Zachun,Zoneless,7,False
Zygantra,Zincic,6,False
Zinco-,Zymotic,6,False
Zircon,Zunyite,6,False
Zoolatry,Zirconia,7,False
Zymometer,Zeolitiform,8,False
Zufolo,Zamite,5,False
Zocco,Zechin,4,False
Zealotry,Zoophytology,9,False
Zoilism,Zante,6,False
Zoophily,Zoroastrian,7,False
Zander,Ziega,5,False
Zoosperm,Zoned,5,False
Zonal,Zigzaggy,6,False
Zygobranchiate,Zoo-,12,False
Zoilism,Zoroastrianism,8,False
Zinkenite,Zymic,7,False
Zoolatry,Zyme,7,False
Zoonite,Zymosis,5,False
Zoogeographical,Zoolatry,11,False
Zoodendrium,Zygantra,8,False
Zebra,Zygodactyle,9,False
Zunyite,Zeolitiform,8,False
Zingiberaceous,Zeolitic,11,False
Zoophytical,Zoology,8,False
Z,Zoophilist,9,False
Zabism,Zapotilla,6,False
Zoogeny,Zirco-,6,False
Zephyr,Zigzaggery,8,False
Zenik,Zinnia,3,False
Zoroastrism,Zigger,9,False
Zoochemical,Zauschneria,7,False
Zincide,Zopilote,6,False
Zygodactylic,Zander,10,False
Zeroes,Zenick,4,False
Zonar,Zodiacal,5,False
Zygosperm,Zoanthropy,9,False
Zoophaga,Zinnwaldite,9,False
Zenithal,Zingiberaceous,10,False
Zemni,Zygomatic,6,False
Zoophorous,Zymometer,9,False
Zygantra,Zoophagan,7,False
Zoccolo,Zincification,9,False
Zygomatic,Zumometer,5,False
Ziega,-sporangia,8,False
Zoophytoid,Zoophagous,4,False
Zuchetto,Zeolitiform,8,False
Zoogamous,Zein,8,False
Zeta,Zoologist,8,False
Zeugmatic,Zeriba,6,False
Zingel,Zoospore,7,False
Zeolite,Zirconium,6,False
Zythepsary,Zocle,8,False
Zocle,Zoogamy,5,False
Zoophyta,Zachun,6,False
Zoospore,Zoophilist,7,False
Zabian,Zealful,5,False
Zephyrus,Zymotic,7,False
Zootic,Zythepsary,9,False
Zygantrum,Zoophagous,8,False
Zoophagan,Zygantra,7,False
Zenithal,Zircono,7,False
Zoa,Zirconate,6,False
Zealant,Zoophite,6,False
Zeta,Zuche,4,False
Zif,Zoochemy,7,False
Zootomical,Zodiacal,5,False
Zest,Zoophite,6,False
Zero,Zincification,11,False
Zither,Zero,4,False
Zythem,Zeros,5,False
Zein,Zincane,5,False
Zemni,Zoanthodeme,9,False
Zeal,Zylonite,7,False
Zoide,Zoospore,5,False
Zehner,Zax,5,False
Za,Zygapophyses,10,False
Zend-Avesta,Zoography,10,False
Zoosporangium,Zirconoid,9,False
Zeal,Zenana,3,False
Zalambdodont,Zeal,10,False
Zirconic,Zootomical,6,False
Zyme,Zambos,4,False
Zoologically,Zoutch,9,False
Zeta,Zinco-polar,9,False
Zouave,Zither,5,False
Zyophyte,Zoographer,7,False
Zonnar,Zoophytic,7,False
Zymophyte,Zoochemy,6,False
Zoantharia,Zyme,9,False
Zingari,Zamia,5,False
Zealotism,Zenana,7,False
Zircofluoride,Zeugobranchiata,12,False
Zighyr,Zeugmatic,7,False
Zincous,Zooid,5,False
Zumological,Zyophyte,9,False
Zumological,Zoogeny,7,False
-sporangia,Zoroastrism,9,False
Zoo-,Zigzag,5,False
Zittern,Zincing,5,False
Zymic,Zincography,10,False
Zymase,Zealant,5,False
Zealotical,Zizel,7,False
Zany,Zeuglodonta,9,False
Zygantra,Zythepsary,7,False
